filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-03-16,CVS CORP,CVS,BODINE CHRIS W,Executive Vice President,P,30.57,26.0,2076.0,1.2524084778420037,794.82
2006-11-28,CVS CORP,CVS,SWIFT RICHARD J,,P,27.38,3000.0,4000.0,75.0,82140.0
2006-12-07,CVS CORP,CVS,MERLO LARRY J,Executive Vice President,S,29.76,-131486.0,100954.0,-130.24347722725201,-3913023.3600000003
2006-12-08,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.19,-52200.0,179998.0,-29.00032222580251,-1575918.0
2006-12-08,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.18,-52200.0,127870.0,-40.822710565418,-1575396.0
2006-12-08,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.18,-52200.0,127870.0,-40.822710565418,-1575396.0
2006-12-08,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.14,-52200.0,153934.0,-33.91063702625801,-1573308.0
2006-12-08,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.19,-52200.0,179998.0,-29.00032222580251,-1575918.0
2006-12-08,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.14,-52200.0,153934.0,-33.91063702625801,-1573308.0
2006-12-13,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.12,-52200.0,232126.0,-22.48778680544187,-1572264.0
2006-12-13,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.05,-52200.0,206062.0,-25.33218157641875,-1568610.0
2006-12-13,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.12,-52200.0,232126.0,-22.48778680544187,-1572264.0
2006-12-13,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.05,-52200.0,206062.0,-25.33218157641875,-1568610.0
2006-12-15,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.28,-52200.0,258190.0,-20.21766915837174,-1580616.0
2006-12-15,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.77,-52200.0,284254.0,-18.363857676585027,-1606194.0
2006-12-15,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.28,-52200.0,258190.0,-20.21766915837174,-1580616.0
2006-12-15,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.77,-52200.0,284254.0,-18.363857676585027,-1606194.0
2006-12-19,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,29.68,-52200.0,362446.0,-14.40214542304233,-1549296.0
2006-12-19,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.1,-52200.0,336382.0,-15.51807171608469,-1571220.0
2006-12-19,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.99,-52200.0,310318.0,-16.82145412125626,-1617678.0
2006-12-19,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,29.68,-52200.0,362446.0,-14.40214542304233,-1549296.0
2006-12-19,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.99,-52200.0,310318.0,-16.82145412125626,-1617678.0
2006-12-19,CVS CORP,CVS,RYAN THOMAS M,"Chairman, CEO & President",S,30.1,-52200.0,336382.0,-15.51807171608469,-1571220.0
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,SGARRO DOUGLAS A,Executive Vice President,S,37.49,-140460.0,112246.0,-125.13586230244285,-5265845.4
2007-05-14,CVS CAREMARK CORP,CVS,MILLON JEAN PIERRE,,S,37.3,-8946.0,7586.0,-117.92776166622727,-333685.8
2007-05-24,CVS CAREMARK CORP,CVS,HEADRICK ROGER L,,P,37.99,882.0,318762.0,0.2766954655824722,33507.18
