filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,74.82,-1700.0,14143.0,-12.020080605246411,-127193.99999999999
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,73.13,-21400.0,2504.0,-854.6325878594249,-1564982.0
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,72.94,-21400.0,2504.0,-854.6325878594249,-1560916.0
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,72.9,-21400.0,2504.0,-854.6325878594249,-1560060.0000000002
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,72.89,-21400.0,2504.0,-854.6325878594249,-1559846.0
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,72.85,-21400.0,2504.0,-854.6325878594249,-1558989.9999999998
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,72.77,-21400.0,2504.0,-854.6325878594249,-1557278.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,74.87,-2500.0,14143.0,-17.676589125362373,-187175.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,72.6,-50000.0,14143.0,-353.5317825072474,-3629999.9999999995
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,74.05,-21400.0,2504.0,-854.6325878594249,-1584670.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,72.75,-25000.0,14143.0,-176.7658912536237,-1818750.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,72.76,-35000.0,14143.0,-247.47224775507317,-2546600.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,72.35,-50000.0,14143.0,-353.5317825072474,-3617499.9999999995
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,73.0,-40000.0,14143.0,-282.82542600579796,-2920000.0
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,72.41,-21400.0,2504.0,-854.6325878594249,-1549574.0
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,74.67,-21800.0,2504.0,-870.6070287539935,-1627806.0
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,73.2,-21400.0,2504.0,-854.6325878594249,-1566480.0
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,73.31,-21400.0,2504.0,-854.6325878594249,-1568834.0
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,73.67,-21400.0,2504.0,-854.6325878594249,-1576538.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,74.79,-375.0,14143.0,-2.6514883688043556,-28046.250000000004
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.37,-825.0,14143.0,-5.833274411369582,-62180.25000000001
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.49,-2600.0,14143.0,-18.383652690376863,-196274.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.55,-3800.0,14143.0,-26.868415470550804,-287090.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.51,-3000.0,14143.0,-21.211906950434845,-226530.00000000003
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.49,-17400.0,14143.0,-123.02906031252209,-1313526.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.42,-4000.0,14143.0,-28.28254260057979,-301680.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.43,-200.0,14143.0,-1.4141271300289895,-15086.000000000002
2006-01-05,APPLE COMPUTER INC,AAPL,TEVANIAN AVADIS,Senior Vice President,S,74.45,-21400.0,2504.0,-854.6325878594249,-1593230.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.59,-600.0,14143.0,-4.242381390086969,-45354.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.38,-175.0,14143.0,-1.237361238775366,-13191.5
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,74.63,-1400.0,14143.0,-9.898889910202929,-104482.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.62,-200.0,14143.0,-1.4141271300289895,-15124.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,74.84,-2000.0,14143.0,-14.141271300289896,-149680.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,74.83,-2000.0,14143.0,-14.141271300289896,-149660.0
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,74.81,-725.0,14143.0,-5.126210846355087,-54237.25
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,74.85,-3200.0,14143.0,-22.626034080463832,-239519.99999999997
2006-01-05,APPLE COMPUTER INC,AAPL,OPPENHEIMER PETER,Senior Vice President,S,75.4,-4700.0,14143.0,-33.23198755568126,-354380.0
