filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-11,AMAZON COM INC,AMZN,Holden Jeffrey,,S,46.9,-870.0,2464.0,-35.30844155844156,-40803.0
2006-02-17,AMAZON COM INC,AMZN,WILSON L MICHELLE,Senior Vice President,S,38.49,-12502.0,32200.0,-38.826086956521735,-481201.98000000004
2006-02-17,AMAZON COM INC,AMZN,WILKE JEFFREY A,Senior Vice President,S,38.49,-17496.0,40000.0,-43.74,-673421.04
2006-02-17,AMAZON COM INC,AMZN,PIACENTINI DIEGO,Senior Vice President,S,38.49,-40000.0,40000.0,-100.0,-1539600.0
2006-02-17,AMAZON COM INC,AMZN,PIACENTINI DIEGO,Senior Vice President,S,39.0,-16252.0,40000.0,-40.63,-633828.0
2006-02-17,AMAZON COM INC,AMZN,PEEK MARK S,Vice President and CAO,S,38.49,-15000.0,40000.0,-37.5,-577350.0
2006-02-22,AMAZON COM INC,AMZN,WILKE JEFFREY A,Senior Vice President,S,38.76,-17497.0,40000.0,-43.7425,-678183.72
2006-03-02,AMAZON COM INC,AMZN,WILKE JEFFREY A,Senior Vice President,S,37.57,-17497.0,40000.0,-43.7425,-657362.29
2006-04-03,AMAZON COM INC,AMZN,WILKE JEFFREY A,Senior Vice President,S,36.63,-20000.0,20000.0,-100.0,-732600.0
2006-04-03,AMAZON COM INC,AMZN,WILSON L MICHELLE,Senior Vice President,S,36.64,-20000.0,12200.0,-163.9344262295082,-732800.0
2006-05-17,AMAZON COM INC,AMZN,PIACENTINI DIEGO,Senior Vice President,S,32.53,-20000.0,40000.0,-50.0,-650600.0
2006-05-24,AMAZON COM INC,AMZN,PIACENTINI DIEGO,Senior Vice President,S,34.0,-20000.0,40000.0,-50.0,-680000.0
2006-05-25,AMAZON COM INC,AMZN,WILSON L MICHELLE,Senior Vice President,S,35.38,-12502.0,12200.0,-102.47540983606558,-442320.76
2006-05-25,AMAZON COM INC,AMZN,WILKE JEFFREY A,Senior Vice President,S,35.38,-12500.0,20000.0,-62.5,-442250.00000000006
2006-05-25,AMAZON COM INC,AMZN,PEEK MARK S,Senior Vice President and CAO,S,35.38,-15000.0,40000.0,-37.5,-530700.0
2006-06-01,AMAZON COM INC,AMZN,WILKE JEFFREY A,Senior Vice President,S,35.25,-6250.0,20000.0,-31.25,-220312.5
2006-06-21,AMAZON COM INC,AMZN,DALZELL RICHARD L,Senior Vice President,S,,-8000.0,32000.0,-25.0,
