filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2009-10-07,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3314.59,-10.0,1627468.0,-0.0006144514054961449,-33145.9
2009-10-07,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3313.0,-180.0,1626978.0,-0.011063456297503715,-596340.0
2009-10-07,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3310.0,-100.0,1627158.0,-0.006145684684585025,-331000.0
2009-10-07,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3314.31,-10.0,1627458.0,-0.0006144551810246409,-33143.1
2009-10-07,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3314.29,-80.0,1627358.0,-0.004915943510893117,-265143.2
2009-10-07,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3313.1,-20.0,1627438.0,-0.0012289254644416562,-66262.0
2009-10-07,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3318.0,-100.0,1627258.0,-0.006145307013393082,-331800.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3280.0,-60.0,1626777.0,-0.0036882744223701216,-196800.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3277.05,-80.0,1626637.0,-0.004918122482151827,-262164.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3280.02,-30.0,1626868.0,-0.0018440340580796967,-98400.6
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3288.0,-200.0,1625968.0,-0.012300365074835421,-657600.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3290.0,-10.0,1626968.0,-0.0006146402387754399,-32900.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3280.11,-10.0,1626958.0,-0.0006146440166248914,-32801.1
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3277.1,-10.0,1626948.0,-0.0006146477945207836,-32771.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3277.0,-10.0,1626938.0,-0.0006146515724631178,-32770.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3294.15,-31.0,1626837.0,-0.0019055381700809608,-102118.65000000001
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3272.0,-20.0,1626898.0,-0.0012293333693937788,-65440.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3272.05,-60.0,1626717.0,-0.00368841046106975,-196323.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3285.0,-100.0,1626537.0,-0.00614803106231214,-328500.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3281.9,-100.0,1626437.0,-0.006148409068411503,-328190.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3278.0,-100.0,1626337.0,-0.006148787120996448,-327800.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3272.2,-20.0,1626918.0,-0.0012293182569742297,-65444.0
2009-10-08,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3282.0,-169.0,1626168.0,-0.01039253016908462,-554658.0
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3302.05,-90.0,1625448.0,-0.005536935048060596,-297184.5
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3300.0,-20.0,1625888.0,-0.0012300970300537306,-66000.0
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3304.11,-30.0,1625858.0,-0.0018451795913296241,-99123.3
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3304.06,-70.0,1625698.0,-0.0043058427826078395,-231284.19999999998
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3303.8,-70.0,1625628.0,-0.0043060281934120224,-231266.0
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3303.85,-30.0,1625828.0,-0.0018452136388351045,-99115.5
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3300.05,-60.0,1625768.0,-0.0036905634752313985,-198003.0
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3306.0,-100.0,1625348.0,-0.006152528566190132,-330600.0
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3303.01,-10.0,1625958.0,-0.0006150220362395585,-33030.100000000006
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3302.07,-10.0,1625948.0,-0.0006150258187838726,-33020.700000000004
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3307.0,-20.0,1625928.0,-0.0012300667680241685,-66140.0
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3300.1,-20.0,1625908.0,-0.0012300818988528256,-66002.0
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3304.0,-100.0,1625248.0,-0.006152907125558684,-330400.0
2009-10-09,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3303.0,-90.0,1625538.0,-0.005536628488537333,-297270.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3276.6,-80.0,1625108.0,-0.004922749749555106,-262128.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3274.0,-80.0,1625028.0,-0.00492299209613619,-261920.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3285.05,-100.0,1624928.0,-0.0061541188286496394,-328505.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3274.1,-20.0,1625188.0,-0.00123062685670827,-65482.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3276.75,-20.0,1625228.0,-0.001230596568604528,-65535.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3273.0,-100.0,1624528.0,-0.006155634128805413,-327300.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3287.0,-300.0,1624048.0,-0.018472360422844645,-986100.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3275.07,-100.0,1624728.0,-0.006154876385462674,-327507.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3286.05,-30.0,1623938.0,-0.00184736116772931,-98581.5
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3274.6,-100.0,1624628.0,-0.006155255233813525,-327460.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3275.01,-20.0,1625208.0,-0.0012306117124700347,-65500.200000000004
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3282.5,-20.0,1623968.0,-0.0012315513606179433,-65650.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3275.0,-180.0,1624348.0,-0.011081369263236695,-589500.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3282.12,-80.0,1623708.0,-0.004926994262515181,-262569.6
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3282.86,-20.0,1623988.0,-0.0012315361936171942,-65657.2
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3295.15,-90.0,1623528.0,-0.005543483081289636,-296563.5
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3277.0,-100.0,1624828.0,-0.006154497583744248,-327700.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3285.22,-20.0,1624008.0,-0.0012315210269900148,-65704.4
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3287.0,-100.0,1623428.0,-0.006159805054489636,-328700.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3295.85,-90.0,1623618.0,-0.005543175796277203,-296626.5
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3285.2,-80.0,1623788.0,-0.004926751521750376,-262816.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3295.9,-10.0,1624038.0,-0.0006157491388748294,-32959.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3286.0,-70.0,1623868.0,-0.004310695204290004,-230020.0
2009-10-13,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3295.16,-10.0,1624028.0,-0.0006157529303681957,-32951.6
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3279.6,-80.0,1623158.0,-0.004928663753004945,-262368.0
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3279.35,-10.0,1623378.0,-0.0006159994776324429,-32793.5
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3282.0,-170.0,1622548.0,-0.010477347973680901,-557940.0
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3283.0,-100.0,1622968.0,-0.00616155093630928,-328300.0
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3279.0,-90.0,1623068.0,-0.005545054181340523,-295110.0
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3280.6,-20.0,1623318.0,-0.0012320444915906803,-65612.0
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3286.0,-80.0,1623238.0,-0.004928420847713028,-262880.0
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3282.02,-20.0,1623338.0,-0.0012320293124414017,-65640.4
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3286.02,-20.0,1623358.0,-0.0012320141336661415,-65720.4
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3294.16,-10.0,1623408.0,-0.0006159880941821156,-32941.6
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3290.2,-10.0,1623398.0,-0.0006159918886188107,-32902.0
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3294.35,-10.0,1623418.0,-0.0006159842997921669,-32943.5
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3290.0,-150.0,1622718.0,-0.009243750300421886,-493500.0
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3282.03,-10.0,1623388.0,-0.0006159956831022528,-32820.3
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3294.0,-180.0,1622368.0,-0.011094893390402177,-592920.0
2009-10-14,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3281.0,-100.0,1622868.0,-0.006161930606802278,-328100.0
2009-10-15,BERKSHIRE HATHAWAY INC,BRK.B,BILL & MELINDA GATES FOUNDATION TRUST,,S,3337.0,-100.0,1621708.0,-0.006166338206384873,-333700.0
