filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-04,CISCO SYSTEMS INC,CSCO,RAFAEL BETSY,"VP,CorpContrllr,ChiefAcctgOfcr",S,17.19,-7333.0,2789.0,-262.92577984940834,-126054.27
2006-01-04,CISCO SYSTEMS INC,CSCO,RAFAEL BETSY,"VP,CorpContrllr,ChiefAcctgOfcr",S,17.19,-7291.0,2789.0,-261.4198637504482,-125332.29000000001
2006-01-04,CISCO SYSTEMS INC,CSCO,RAFAEL BETSY,"VP,CorpContrllr,ChiefAcctgOfcr",S,17.19,-7291.0,2789.0,-261.4198637504482,-125332.29000000001
2006-01-06,CISCO SYSTEMS INC,CSCO,RAFAEL BETSY,"VP,CorpContrllr,PrincAcctgOfcr",S,18.5,-30000.0,2789.0,-1075.6543564001436,-555000.0
2006-02-10,CISCO SYSTEMS INC,CSCO,CHANDLER MARK D,"SVP,Legal Srvs,GenCnsl & Secty",S,19.95,-45000.0,82764.0,-54.371465854719446,-897750.0
2006-02-10,CISCO SYSTEMS INC,CSCO,CHANDLER MARK D,"SVP,Legal Srvs,GenCnsl & Secty",S,19.95,-45000.0,82764.0,-54.371465854719446,-897750.0
2006-02-15,CISCO SYSTEMS INC,CSCO,Giancarlo Charles H,"SVP,Chief Development Ofcr",S,19.75,-55811.0,7749.0,-720.2348690153568,-1102267.25
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.78,-78900.0,3300891.0,-2.3902637197047705,-1560642.0
2006-02-15,CISCO SYSTEMS INC,CSCO,Giancarlo Charles H,"SVP,Chief Development Ofcr",S,19.8,-50000.0,7749.0,-645.2445476835721,-990000.0
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.74,-126000.0,3300891.0,-3.8171511873612305,-2487240.0
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.63,-153089.0,3300891.0,-4.637808397793202,-3005137.07
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.61,-60000.0,3300891.0,-1.817691041600586,-1176600.0
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.6,-20000.0,3300891.0,-0.605897013866862,-392000.0
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.59,-30000.0,3300891.0,-0.908845520800293,-587700.0
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.67,-14700.0,3300891.0,-0.4453343051921436,-289149.0
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.65,-99000.0,3300891.0,-2.999190218640967,-1945349.9999999998
2006-02-15,CISCO SYSTEMS INC,CSCO,Giancarlo Charles H,"SVP,Chief Development Ofcr",S,19.78,-44189.0,7749.0,-570.2542263517873,-874058.42
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.68,-29600.0,3300891.0,-0.8967275805229556,-582528.0
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.72,-55100.0,3300891.0,-1.6692462732032047,-1086572.0
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.69,-93900.0,3300891.0,-2.844686480104917,-1848891.0000000002
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.7,-149200.0,3300891.0,-4.519991723446791,-2939240.0
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.8,-6000.0,3300891.0,-0.1817691041600586,-118800.0
2006-02-15,CISCO SYSTEMS INC,CSCO,Giancarlo Charles H,"SVP,Chief Development Ofcr",S,19.79,-50000.0,7749.0,-645.2445476835721,-989500.0
2006-02-15,CISCO SYSTEMS INC,CSCO,Giancarlo Charles H,"SVP,Chief Development Ofcr",S,19.46,-26304.0,7749.0,-339.4502516453736,-511875.84
2006-02-15,CISCO SYSTEMS INC,CSCO,Giancarlo Charles H,"SVP,Chief Development Ofcr",S,19.45,-11196.0,7749.0,-144.48315911730546,-217762.19999999998
2006-02-15,CISCO SYSTEMS INC,CSCO,Giancarlo Charles H,"SVP,Chief Development Ofcr",S,19.45,-11196.0,7749.0,-144.48315911730546,-217762.19999999998
2006-02-15,CISCO SYSTEMS INC,CSCO,CHAMBERS JOHN T,President/CEO,S,19.79,-30700.0,3300891.0,-0.9300519162856331,-607553.0
2006-02-15,CISCO SYSTEMS INC,CSCO,Giancarlo Charles H,"SVP,Chief Development Ofcr",S,19.57,-100000.0,7749.0,-1290.4890953671443,-1957000.0
2006-02-15,CISCO SYSTEMS INC,CSCO,Giancarlo Charles H,"SVP,Chief Development Ofcr",S,19.47,-112500.0,7749.0,-1451.8002322880373,-2190375.0
2006-02-15,CISCO SYSTEMS INC,CSCO,Giancarlo Charles H,"SVP,Chief Development Ofcr",S,19.66,-123300.0,7749.0,-1591.1730545876887,-2424078.0
