filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-20,WALT DISNEY CO/,DIS,STAGGS THOMAS O,Sr. EVP & Chief Finan. Officer,S,26.01,-33660.0,98134.0,-34.30003872256302,-875496.6000000001
2006-01-20,WALT DISNEY CO/,DIS,STAGGS THOMAS O,Sr. EVP & Chief Finan. Officer,S,26.01,-33660.0,98134.0,-34.30003872256302,-875496.6000000001
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.1,-26900.0,387676.0,-6.9387839329749585,-675190.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,24.98,-3100.0,169176.0,-1.8324112167210478,-77438.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,24.99,-6100.0,172276.0,-3.5408298312010955,-152439.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,24.96,-13800.0,222276.0,-6.208497543594451,-344448.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.06,-4000.0,479176.0,-0.8347663488989432,-100240.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,24.95,-24900.0,197376.0,-12.615515564202335,-621255.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,24.94,-15700.0,181676.0,-8.64175785464233,-391558.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,24.93,-12800.0,168876.0,-7.579525805916767,-319104.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,24.92,-2300.0,166576.0,-1.380751128613966,-57316.00000000001
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.09,-1700.0,484876.0,-0.35060510316039567,-42653.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.08,-1700.0,483176.0,-0.35183866748348425,-42636.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.05,-1300.0,477876.0,-0.2720370974897254,-32565.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,24.97,-7400.0,236076.0,-3.134583778105356,-184778.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.04,-2800.0,475076.0,-0.5893793835091649,-70112.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.03,-24300.0,450776.0,-5.390704030383161,-608229.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.02,-26500.0,424276.0,-6.2459342503464725,-663030.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.11,-29900.0,414576.0,-7.212187873875959,-750789.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.12,-13200.0,444476.0,-2.969789144970707,-331584.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.13,-7500.0,457676.0,-1.6387138499724694,-188475.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.14,-2400.0,465176.0,-0.5159337541059729,-60336.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,26.07,-1600.0,234276.0,-0.682955146920726,-41712.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.97,-2600.0,191776.0,-1.3557483731019524,-67522.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.96,-2400.0,189376.0,-1.2673200405542413,-62304.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.99,-4900.0,194376.0,-2.5208873523480264,-127350.99999999999
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.2,-900.0,478076.0,-0.18825458713677323,-22680.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.08,-25300.0,345376.0,-7.325349763735754,-634524.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,24.96,-2600.0,166576.0,-1.5608491019114399,-64896.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.31,-2400.0,484176.0,-0.495687518588282,-60744.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.22,-2500.0,481676.0,-0.5190210847125454,-63050.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.21,-2700.0,478976.0,-0.5637025654730091,-68067.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,26.0,-9400.0,199276.0,-4.717075814448303,-244400.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.19,-1000.0,477076.0,-0.2096102088556121,-25190.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.18,-2100.0,474976.0,-0.4421276022367446,-52878.0
2006-02-07,WALT DISNEY CO/,DIS,IGER ROBERT A,President and CEO,S,25.0,-2100.0,178376.0,-1.1772884244517199,-52500.0
