filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2024-06-21,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,177.75,-7404.0,2213011.0,-0.3345667960981667,-1316061.0
2024-06-21,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,177.23,-15096.0,2220415.0,-0.679872906641326,-2675464.08
2024-06-21,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,177.23,-15096.0,2220415.0,-0.679872906641326,-2675464.08
2024-06-21,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,177.75,-7404.0,2213011.0,-0.3345667960981667,-1316061.0
2024-07-02,Alphabet Inc.,GOOGL,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S,183.47,-682.0,30650.0,-2.225122349102773,-125126.54
2024-07-02,Alphabet Inc.,GOOGL,RAGHAVAN PRABHAKAR,Senior Vice President,S,185.14,-100.0,9.0,-1111.111111111111,-18514.0
2024-07-02,Alphabet Inc.,GOOGL,RAGHAVAN PRABHAKAR,Senior Vice President,S,184.29,-1662.0,109.0,-1524.7706422018348,-306289.98
2024-07-02,Alphabet Inc.,GOOGL,RAGHAVAN PRABHAKAR,Senior Vice President,S,183.58,-1500.0,1771.0,-84.6979107848673,-275370.0
2024-07-02,Alphabet Inc.,GOOGL,RAGHAVAN PRABHAKAR,Senior Vice President,S,184.29,-1662.0,109.0,-1524.7706422018348,-306289.98
2024-07-02,Alphabet Inc.,GOOGL,RAGHAVAN PRABHAKAR,Senior Vice President,S,183.58,-1500.0,1771.0,-84.6979107848673,-275370.0
2024-07-02,Alphabet Inc.,GOOGL,RAGHAVAN PRABHAKAR,Senior Vice President,S,184.29,-1662.0,109.0,-1524.7706422018348,-306289.98
2024-07-02,Alphabet Inc.,GOOGL,RAGHAVAN PRABHAKAR,Senior Vice President,S,185.14,-100.0,9.0,-1111.111111111111,-18514.0
2024-07-02,Alphabet Inc.,GOOGL,RAGHAVAN PRABHAKAR,Senior Vice President,S,185.14,-100.0,9.0,-1111.111111111111,-18514.0
2024-07-02,Alphabet Inc.,GOOGL,RAGHAVAN PRABHAKAR,Senior Vice President,S,183.58,-1500.0,1771.0,-84.6979107848673,-275370.0
2024-07-02,Alphabet Inc.,GOOGL,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S,183.47,-682.0,30650.0,-2.225122349102773,-125126.54
2024-07-02,Alphabet Inc.,GOOGL,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S,183.47,-682.0,30650.0,-2.225122349102773,-125126.54
2024-07-03,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,186.09,-8975.0,2240910.0,-0.40050693691402156,-1670157.75
2024-07-03,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,187.18,-13525.0,2227385.0,-0.6072142894021465,-2531609.5
2024-07-03,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,186.09,-8975.0,2240910.0,-0.40050693691402156,-1670157.75
2024-07-03,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,187.18,-13525.0,2227385.0,-0.6072142894021465,-2531609.5
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,186.41,-474.0,30824.0,-1.5377627822475992,-88358.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,185.59,-1026.0,31298.0,-3.278164738960956,-190415.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,186.41,-474.0,30824.0,-1.5377627822475992,-88358.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,185.59,-1026.0,31298.0,-3.278164738960956,-190415.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,185.59,-1026.0,31298.0,-3.278164738960956,-190415.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,186.41,-474.0,30824.0,-1.5377627822475992,-88358.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,186.41,-474.0,30824.0,-1.5377627822475992,-88358.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,185.59,-1026.0,31298.0,-3.278164738960956,-190415.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,186.41,-474.0,30824.0,-1.5377627822475992,-88358.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,185.59,-1026.0,31298.0,-3.278164738960956,-190415.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,186.41,-474.0,30824.0,-1.5377627822475992,-88358.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,185.59,-1026.0,31298.0,-3.278164738960956,-190415.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,186.41,-474.0,30824.0,-1.5377627822475992,-88358.34
2024-07-16,Alphabet Inc.,GOOGL,HENNESSY JOHN L,,S,185.59,-1026.0,31298.0,-3.278164738960956,-190415.34
2024-07-18,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,182.49,-12351.0,2215034.0,-0.5575986643997338,-2253933.99
2024-07-18,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,184.32,-1000.0,2204885.0,-0.04535383931588269,-184320.0
2024-07-18,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,183.14,-9149.0,2205885.0,-0.41475416896166395,-1675547.8599999999
2024-07-18,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,184.32,-1000.0,2204885.0,-0.04535383931588269,-184320.0
2024-07-18,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,183.14,-9149.0,2205885.0,-0.41475416896166395,-1675547.8599999999
2024-07-18,Alphabet Inc.,GOOGL,Pichai Sundar,Chief Executive Officer,S,182.49,-12351.0,2215034.0,-0.5575986643997338,-2253933.99
2024-08-02,Alphabet Inc.,GOOGL,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S,168.0,-682.0,31334.0,-2.1765494351184014,-114576.0
2024-08-02,Alphabet Inc.,GOOGL,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S,168.0,-682.0,31334.0,-2.1765494351184014,-114576.0
