filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-03-08,HOME DEPOT INC,HD,CLENDENIN JOHN L,,S,42.03,-770.0,16965.39,-4.538651926068307,-32363.100000000002
2006-03-08,HOME DEPOT INC,HD,CLENDENIN JOHN L,,S,42.02,-5400.0,11565.39,-46.69103246842519,-226908.00000000003
2006-03-09,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,41.08,-130.0,705749.49,-0.018420133750291483,-5340.4
2006-03-09,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,41.38,-1148.0,705879.49,-0.16263399294970307,-47504.240000000005
2006-03-09,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,41.33,-21100.0,707027.49,-2.9843252629399175,-872063.0
2006-03-20,HOME DEPOT INC,HD,FERNANDEZ FRANK L,EVP - Sec. and Gen. Counsel,S,42.62,-503.0,357100.0,-0.1408569028283394,-21437.859999999997
2006-03-20,HOME DEPOT INC,HD,FERNANDEZ FRANK L,EVP - Sec. and Gen. Counsel,S,42.61,-2100.0,355000.0,-0.5915492957746479,-89481.0
2006-03-20,HOME DEPOT INC,HD,FERNANDEZ FRANK L,EVP - Sec. and Gen. Counsel,S,42.75,-17500.0,350132.0,-4.998114996629843,-748125.0
2006-03-20,HOME DEPOT INC,HD,FERNANDEZ FRANK L,EVP - Sec. and Gen. Counsel,S,42.82,-4032.0,340100.0,-1.1855336665686562,-172650.24
2006-03-20,HOME DEPOT INC,HD,FERNANDEZ FRANK L,EVP - Sec. and Gen. Counsel,S,42.75,-6000.0,344132.0,-1.7435170225378633,-256500.0
2006-03-21,HOME DEPOT INC,HD,TAYLOR THOMAS V,EVP - Merch. & Marketing,S,41.03,-7600.0,305117.77,-2.4908414872067266,-311828.0
2006-03-21,HOME DEPOT INC,HD,TAYLOR THOMAS V,EVP - Merch. & Marketing,S,41.04,-400.0,312717.77,-0.1279108635240012,-16416.0
2006-03-21,HOME DEPOT INC,HD,VERSCHUREN ANNETTE M,Div. Pres. - Canada & EXPO,S,43.0,-20000.0,161771.48,-12.363118641184464,-860000.0
2006-03-21,HOME DEPOT INC,HD,MERINO BRUCE A,Div. Pres. - Western,S,42.95,-3050.0,270629.0,-1.1270041274216733,-130997.50000000001
2006-03-21,HOME DEPOT INC,HD,MERINO BRUCE A,Div. Pres. - Western,S,42.92,-18700.0,251929.0,-7.422726244298988,-802604.0
2006-03-21,HOME DEPOT INC,HD,TAYLOR THOMAS V,EVP - Merch. & Marketing,S,41.04,-17500.0,313117.77,-5.588951403173317,-718200.0
2006-03-22,HOME DEPOT INC,HD,NARDELLI ROBERT L,"Chairman, Pres., & CEO",S,42.92,-12400.0,2477238.7,-0.5005573342609253,-532208.0
2006-03-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,42.8,-13162.0,630749.49,-2.086723843407309,-563333.6
2006-03-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,42.95,-30000.0,643911.49,-4.659025419782461,-1288500.0
2006-03-22,HOME DEPOT INC,HD,NARDELLI ROBERT L,"Chairman, Pres., & CEO",S,42.95,-5300.0,2510738.7,-0.21109325315294658,-227635.00000000003
2006-03-22,HOME DEPOT INC,HD,NARDELLI ROBERT L,"Chairman, Pres., & CEO",S,42.85,-38400.0,2374157.7,-1.617415726006743,-1645440.0
2006-03-22,HOME DEPOT INC,HD,NARDELLI ROBERT L,"Chairman, Pres., & CEO",S,42.87,-6600.0,2422457.7,-0.2724505777747946,-282942.0
2006-03-22,HOME DEPOT INC,HD,NARDELLI ROBERT L,"Chairman, Pres., & CEO",S,42.96,-4700.0,2516038.7,-0.18680157821101875,-201912.0
2006-03-22,HOME DEPOT INC,HD,NARDELLI ROBERT L,"Chairman, Pres., & CEO",S,42.91,-17000.0,2460238.7,-0.6909898620812687,-729470.0
2006-03-22,HOME DEPOT INC,HD,NARDELLI ROBERT L,"Chairman, Pres., & CEO",S,42.86,-9900.0,2412557.7,-0.41035287985029323,-424314.0
2006-03-22,HOME DEPOT INC,HD,NARDELLI ROBERT L,"Chairman, Pres., & CEO",S,42.93,-7100.0,2489638.7,-0.28518194226334925,-304803.0
2006-03-22,HOME DEPOT INC,HD,NARDELLI ROBERT L,"Chairman, Pres., & CEO",S,42.94,-14000.0,2496738.7,-0.5607314854373827,-601160.0
2006-03-22,HOME DEPOT INC,HD,NARDELLI ROBERT L,"Chairman, Pres., & CEO",S,42.9,-31181.0,2429057.7,-1.2836665016232425,-1337664.9
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.78,-4300.0,463706.05,-0.9273116018218871,-166754.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.79,-8300.0,468006.05,-1.7734813470894233,-321957.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.7,-30100.0,411806.05,-7.3092660974747705,-1164870.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.71,-2400.0,441906.05,-0.5431018652041537,-92904.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.72,-10300.0,444306.05,-2.318221865311085,-398816.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.73,-7200.0,454606.05,-1.5837888651063927,-278856.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.76,-700.0,461806.05,-0.1515787850765489,-27132.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.77,-1200.0,462506.05,-0.25945606549362976,-46524.00000000001
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.84,-5000.0,481906.05,-1.037546633830391,-194200.00000000003
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,39.0,-92418.0,511806.05,-18.057230859228802,-3604302.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.83,-4500.0,477406.05,-0.9425938360018689,-174735.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.86,-100.0,500906.05,-0.019963823555335377,-3886.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.87,-10800.0,501006.05,-2.1556625913000453,-419796.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.8,-600.0,476306.05,-0.1259694265903194,-23280.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.85,-14000.0,486906.05,-2.8752980169377644,-543900.0
2006-05-22,HOME DEPOT INC,HD,DONOVAN DENNIS M,EVP - Human Resources,S,38.81,-500.0,476906.05,-0.10484245272208226,-19405.0
2006-06-09,HOME DEPOT INC,HD,MOZILO ANGELO R,,P,36.95,4600.0,4600.0,100.0,169970.0
2006-06-09,HOME DEPOT INC,HD,MOZILO ANGELO R,,P,36.94,400.0,5000.0,8.0,14776.0
2006-08-28,HOME DEPOT INC,HD,BRENNEMAN GREGORY D,,P,34.08,50.0,50.0,100.0,1704.0
2006-08-28,HOME DEPOT INC,HD,TAYLOR THOMAS V,EVP - Merch. & Marketing,S,33.2,-6067.0,390484.36,-1.553711395764993,-201424.40000000002
2006-08-31,HOME DEPOT INC,HD,VERSCHUREN ANNETTE M,Div. Pres. - Canada,S,34.0,-17000.0,229638.69,-7.402933712955774,-578000.0
2006-09-13,HOME DEPOT INC,HD,TAYLOR THOMAS V,EVP - Merch. & Marketing,S,37.06,-7000.0,398484.36,-1.7566561458020589,-259420.00000000003
2006-09-13,HOME DEPOT INC,HD,TAYLOR THOMAS V,EVP - Merch. & Marketing,S,36.6,-1200.0,390484.36,-0.30731064363243643,-43920.0
2006-09-13,HOME DEPOT INC,HD,TAYLOR THOMAS V,EVP - Merch. & Marketing,S,37.05,-6800.0,391684.36,-1.7360917857429898,-251939.99999999997
2006-09-14,HOME DEPOT INC,HD,VERSCHUREN ANNETTE M,Div. Pres. - Canada,S,37.55,-8500.0,238138.69,-3.5693486010190107,-319175.0
2006-09-14,HOME DEPOT INC,HD,VERSCHUREN ANNETTE M,Div. Pres. - Canada,S,37.0,-8500.0,229638.69,-3.701466856477887,-314500.0
2006-11-30,HOME DEPOT INC,HD,TOME CAROL B,EVP - Chief Financial Officer,S,37.14,-287.0,465107.35,-0.06170618460447895,-10659.18
2006-11-30,HOME DEPOT INC,HD,TOME CAROL B,EVP - Chief Financial Officer,S,37.17,-3300.0,467907.35,-0.7052678270602076,-122661.0
2006-11-30,HOME DEPOT INC,HD,TOME CAROL B,EVP - Chief Financial Officer,S,37.16,-200.0,467707.35,-0.04276178255483905,-7431.999999999999
2006-11-30,HOME DEPOT INC,HD,TOME CAROL B,EVP - Chief Financial Officer,S,37.15,-2313.0,465394.35,-0.49699786858177375,-85927.95
2006-11-30,HOME DEPOT INC,HD,TOME CAROL B,EVP - Chief Financial Officer,S,37.09,-3000.0,448991.35,-0.668164319869414,-111270.00000000001
2006-11-30,HOME DEPOT INC,HD,TOME CAROL B,EVP - Chief Financial Officer,S,37.11,-9400.0,455707.35,-2.062727318310754,-348834.0
2006-11-30,HOME DEPOT INC,HD,TOME CAROL B,EVP - Chief Financial Officer,S,37.1,-3716.0,451991.35,-0.8221396272295919,-137863.6
2006-11-30,HOME DEPOT INC,HD,TOME CAROL B,EVP - Chief Financial Officer,S,37.08,-284.0,448707.35,-0.06329292355028283,-10530.72
2007-03-09,HOME DEPOT INC,HD,JOHNSON LEIPOLD HELEN P,,P,38.83,2500.0,2500.0,100.0,97075.0
2007-06-15,HOME DEPOT INC,HD,Salvidar Ricardo,President - Mexico,P,37.7,2000.0,118969.35,1.681105259463887,75400.0
2007-09-17,HOME DEPOT INC,HD,VERSCHUREN ANNETTE M,Div. Pres. - Canada & Asia,S,35.65,-10000.0,276772.57,-3.613074807232523,-356500.0
2007-09-17,HOME DEPOT INC,HD,VERSCHUREN ANNETTE M,Div. Pres. - Canada & Asia,S,35.61,-10000.0,266772.57,-3.748511325583436,-356100.0
2007-09-17,HOME DEPOT INC,HD,VERSCHUREN ANNETTE M,Div. Pres. - Canada & Asia,S,35.66,-14695.0,286772.57,-5.124269730539431,-524023.69999999995
2007-12-13,HOME DEPOT INC,HD,Izganics Joseph,President - Southern Division,S,29.79,-3511.0,92257.64,-3.805646881927611,-104592.69
2008-03-19,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,25.59,1132907.0,32084668.0,3.5309918120393204,28991090.13
2008-05-23,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,26.99,3398490.0,35483158.0,9.577755170495253,91725245.1
2008-05-27,HOME DEPOT INC,HD,KATEN KAREN L,,P,26.83,5000.0,6500.0,76.92307692307693,134150.0
2008-05-28,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,26.97,457871.0,36487129.0,1.2548836056681796,12348780.87
2008-05-28,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,27.29,129500.0,36616629.0,0.3536644511978424,3534055.0
2008-05-28,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,26.56,546100.0,36029258.0,1.5157125911391238,14504416.0
2008-06-02,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,27.32,400.0,36617029.0,0.0010923879160157969,10928.0
2008-06-02,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,27.16,711903.0,37667600.0,1.8899611337064213,19335285.48
2008-06-02,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,27.44,338668.0,36955697.0,0.9164162158814106,9293049.92
2008-06-05,HOME DEPOT INC,HD,Cornell Brian C,,P,27.44,5000.0,5000.0,100.0,137200.0
2008-06-05,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,26.82,206495.0,37874095.0,0.5452143476959648,5538195.9
2008-06-10,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,27.34,1299900.0,39173995.0,3.3182727470098468,35539266.0
2008-06-17,HOME DEPOT INC,HD,BATCHELDER DAVID H,,P,27.23,247301.0,36651483.0,0.6747366811869523,6734006.23
2008-06-23,HOME DEPOT INC,HD,BOUSBIB ARI,,P,26.64,10000.0,10000.0,100.0,266400.0
2008-09-03,HOME DEPOT INC,HD,McFarland Joseph III,Division President - Western,S,27.36,-481.0,49197.41,-0.9776937444471161,-13160.16
2008-09-03,HOME DEPOT INC,HD,McFarland Joseph III,Division President - Western,S,27.37,-400.0,49678.41,-0.8051787486757325,-10948.0
2008-12-01,HOME DEPOT INC,HD,VERSCHUREN ANNETTE M,Div. Pres. - Canada & Asia,S,23.0,-20774.0,266109.27,-7.806567580302633,-477802.0
2008-12-05,HOME DEPOT INC,HD,VERSCHUREN ANNETTE M,Div. Pres. - Canada & Asia,S,23.0,-20774.0,245335.27,-8.46759620008978,-477802.0
2010-03-19,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,32.5,-2314200.0,31843310.0,-7.2674605749213885,-75211500.0
2010-03-19,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,32.37,-3476700.0,28366610.0,-12.256311205322032,-112540778.99999999
2010-03-19,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,32.43,-2100000.0,26266610.0,-7.994941105837411,-68103000.0
2010-06-16,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,31.76,-734800.0,22189406.0,-3.311490176888917,-23337248.0
2010-06-16,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,32.26,-3342404.0,22924206.0,-14.580238896823733,-107825953.03999999
2010-06-23,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,31.22,-885600.0,21038606.0,-4.209404368331248,-27648432.0
2010-06-23,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,31.39,-265200.0,21924206.0,-1.2096219128756591,-8324628.0
2010-06-25,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,29.73,-23140.0,21015466.0,-0.11010938325136356,-687952.2
2010-08-19,HOME DEPOT INC,HD,VERSCHUREN ANNETTE M,Div. President - Canada,S,28.33,-11000.0,240324.08,-4.57715265153621,-311630.0
2010-11-19,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,30.92,-1446504.0,17493765.0,-8.268683156541774,-44725903.68
2010-11-19,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,31.3,-1699794.0,18940269.0,-8.974497669489278,-53203552.2
2010-11-19,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,31.02,-2420900.0,15072865.0,-16.06131282937915,-75096318.0
2010-11-24,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,30.92,-1006650.0,12659645.0,-7.95164477360937,-31125618.0
2010-11-24,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,31.22,-1165880.0,11493765.0,-10.143586544530883,-36398773.6
2010-11-24,HOME DEPOT INC,HD,BATCHELDER DAVID H,,S,31.15,-1406570.0,13666295.0,-10.292255508899816,-43814655.5
2010-12-22,HOME DEPOT INC,HD,Salvidar Ricardo,President - Mexico,S,35.2,-12758.0,189444.93,-6.7344108918618195,-449081.60000000003
2010-12-22,HOME DEPOT INC,HD,Salvidar Ricardo,President - Mexico,S,35.21,-1800.0,187644.93,-0.959258531525472,-63378.0
2011-02-28,HOME DEPOT INC,HD,VANWOERKOM JACK,"EVP, Secretary & Gen. Counsel",S,37.32,-106635.0,117644.0,-90.64210669477406,-3979618.2
2011-02-28,HOME DEPOT INC,HD,VANWOERKOM JACK,"EVP, Secretary & Gen. Counsel",S,37.0,-3195.0,114449.0,-2.7916364494228874,-118215.0
2011-05-20,HOME DEPOT INC,HD,Carey Matt,EVP & CIO,S,37.28,-27000.0,41278.0,-65.41014584039925,-1006560.0
2011-05-27,HOME DEPOT INC,HD,VANWOERKOM JACK,"EVP, Secretary & Gen. Counsel",S,36.45,-16560.0,144769.0,-11.438913026960192,-603612.0
2011-05-27,HOME DEPOT INC,HD,VANWOERKOM JACK,"EVP, Secretary & Gen. Counsel",S,36.42,-55579.0,89190.0,-62.31528198228501,-2024187.1800000002
2011-08-19,HOME DEPOT INC,HD,Carey Matt,EVP & CIO,S,33.33,-5000.0,36278.0,-13.7824576878549,-166650.0
2011-11-18,HOME DEPOT INC,HD,Menear Craig A,EVP - Merchandising,S,37.94,-2507.51,190729.0,-1.3146978173219594,-95134.92940000001
2011-11-18,HOME DEPOT INC,HD,Menear Craig A,EVP - Merchandising,S,37.65,-54653.0,193236.51,-28.282957501147166,-2057685.45
2012-02-24,HOME DEPOT INC,HD,Carey Matt,EVP & CIO,S,46.72,-16000.0,20278.0,-78.90324489594634,-747520.0
2012-02-24,HOME DEPOT INC,HD,Carey Matt,EVP & CIO,S,46.72,-15250.0,5028.0,-303.30151153540174,-712480.0
2012-02-24,HOME DEPOT INC,HD,HILL BONNIE GUITON,,S,47.01,-30500.0,4316.45,-706.59917293146,-1433805.0
2012-02-24,HOME DEPOT INC,HD,TOME CAROL B,CFO & EVP - Corp. Services,S,47.1,-100000.0,578167.03,-17.29603986584984,-4710000.0
2012-02-24,HOME DEPOT INC,HD,BRENNEMAN GREGORY D,,S,47.02,-30500.0,21332.0,-142.9776861053816,-1434110.0
2012-02-24,HOME DEPOT INC,HD,Crow Timothy M,EVP - Human Resources,S,46.67,-60000.0,166020.01,-36.1402218925297,-2800200.0
2012-02-24,HOME DEPOT INC,HD,TOME CAROL B,CFO & EVP - Corp. Services,S,46.66,-70000.0,588904.03,-11.886486835554512,-3266199.9999999995
