filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-23,INTEL CORP,INTC,HUNDT REED E,,P,22.21,500.0,8500.0,5.88235294117647,11105.0
2006-01-24,INTEL CORP,INTC,PLUMMER JAMES D,,P,21.33,2000.0,3000.0,66.66666666666666,42660.0
2006-02-01,INTEL CORP,INTC,BARRETT CRAIG R,CHAIRMAN OF THE BOARD,S,21.64,-284000.0,3254432.0,-8.726561194088553,-6145760.0
2006-02-02,INTEL CORP,INTC,POTTRUCK DAVID S,,S,21.24,-2000.0,0.0,-inf,-42480.0
2006-02-02,INTEL CORP,INTC,POTTRUCK DAVID S,,S,21.24,-2000.0,0.0,-inf,-42480.0
2006-02-02,INTEL CORP,INTC,POTTRUCK DAVID S,,S,21.24,-2000.0,0.0,-inf,-42480.0
2006-02-02,INTEL CORP,INTC,POTTRUCK DAVID S,,S,21.24,-2000.0,0.0,-inf,-42480.0
2006-02-02,INTEL CORP,INTC,KILROY THOMAS M,VP DIGITAL ENTERPRISE GRP,S,21.28,-20725.0,17864.0,-116.0154500671742,-441028.0
2006-02-06,INTEL CORP,INTC,CHANDRASEKER ANAND,SVP SALES & MKT. GRP,S,21.22,-13200.0,7208.0,-183.12985571587126,-280104.0
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.76,-6400.0,830119.0,-0.7709738001419074,-126464.00000000001
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.73,-6100.0,855969.0,-0.7126426307494781,-120353.0
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.69,-4800.0,879169.0,-0.5459701149608323,-94512.0
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.75,-14150.0,836519.0,-1.691533605333531,-279462.5
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.66,-1600.0,885769.0,-0.18063400277047403,-31456.0
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.77,-21100.0,809019.0,-2.60809696682031,-417147.0
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.67,-600.0,885169.0,-0.06778366616996302,-11802.000000000002
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.75,-14150.0,836519.0,-1.691533605333531,-279462.5
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.74,-5300.0,850669.0,-0.6230390433882038,-104621.99999999999
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.74,-5300.0,850669.0,-0.6230390433882038,-104621.99999999999
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.72,-5900.0,862069.0,-0.6843999726240011,-116348.0
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.83,-8575.0,736404.0,-1.1644423441480491,-170042.24999999997
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.76,-6400.0,830119.0,-0.7709738001419074,-126464.00000000001
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.7,-2200.0,876969.0,-0.25086405562796404,-43340.0
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.76,-6400.0,830119.0,-0.7709738001419074,-126464.00000000001
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.68,-1200.0,883969.0,-0.13575136684657493,-23616.0
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.75,-14150.0,836519.0,-1.691533605333531,-279462.5
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.69,-4800.0,879169.0,-0.5459701149608323,-94512.0
2006-03-16,INTEL CORP,INTC,OTELLINI PAUL S,PRESIDENT AND CEO,S,19.84,-9600.0,726804.0,-1.3208512886555386,-190464.0
