filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-20,J P MORGAN CHASE & CO,JPM,MCDAVID WILLIAM H,Co-General Counsel,S,39.13,-18230.0,692353.57,-2.633047735999975,-713339.9
2006-01-25,J P MORGAN CHASE & CO,JPM,BOSSIDY LAWRENCE A,,P,38.24,20000.0,58338.42,34.28272483210893,764800.0
2006-05-03,J P MORGAN CHASE & CO,JPM,Bradley John F,Director of Human Resources,S,45.4,-13200.0,104292.91,-12.65666093697069,-599280.0
2006-05-04,J P MORGAN CHASE & CO,JPM,SCLAFANI JOSEPH L,Controller,S,45.3,-8615.0,194543.0,-4.428326899451536,-390259.5
2006-05-08,J P MORGAN CHASE & CO,JPM,MCDAVID WILLIAM H,Co-General Counsel,S,46.42,-13740.0,734320.06,-1.8711187053775977,-637810.8
2006-05-08,J P MORGAN CHASE & CO,JPM,MCDAVID WILLIAM H,Co-General Counsel,S,46.36,-46008.0,688312.06,-6.68417752261961,-2132930.88
2006-10-23,J P MORGAN CHASE & CO,JPM,MILLER HEIDI,Executive Vice President,S,46.84,-19494.0,281060.01,-6.93588532925762,-913098.9600000001
2006-10-23,J P MORGAN CHASE & CO,JPM,MILLER HEIDI,Executive Vice President,S,46.84,-19494.0,281060.01,-6.93588532925762,-913098.9600000001
2006-10-23,J P MORGAN CHASE & CO,JPM,MILLER HEIDI,Executive Vice President,S,46.84,-19494.0,281060.01,-6.93588532925762,-913098.9600000001
2006-10-25,J P MORGAN CHASE & CO,JPM,Maclin Samuel Todd,Executive Vice President,S,47.05,-20000.0,232766.62,-8.5922972976108,-941000.0
2006-10-26,J P MORGAN CHASE & CO,JPM,DREW INA R,Chief Investment Officer,S,47.15,-7216.0,699378.78,-1.0317727969956423,-340234.39999999997
2007-01-22,J P MORGAN CHASE & CO,JPM,Maclin Samuel Todd,Executive Vice President,S,49.84,-21000.0,270014.08,-7.777372202219973,-1046640.0000000001
2007-02-01,J P MORGAN CHASE & CO,JPM,BOWLES CRANDALL CLOSE,,P,50.89,4000.0,7523.32,53.16801624814577,203560.0
