filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2009-10-28,COCA COLA CO,KO,DILLER BARRY,,P,54.03,510000.0,1011000.0,50.445103857566764,27555300.0
2009-11-02,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,54.08,-6755.0,29212.0,-23.12405860605231,-365310.39999999997
2009-11-02,COCA COLA CO,KO,McCague Cynthia,Senior Vice President,S,53.33,-6269.0,85105.0,-7.366194700663886,-334325.76999999996
2009-11-02,COCA COLA CO,KO,McCague Cynthia,Senior Vice President,S,53.33,-6269.0,85105.0,-7.366194700663886,-334325.76999999996
2009-11-09,COCA COLA CO,KO,Kent Ahmet Muhtar,President & CEO,P,54.16,2600.0,112701.0,2.3069892902458715,140816.0
2009-11-09,COCA COLA CO,KO,Kent Ahmet Muhtar,President & CEO,P,54.16,200.0,110101.0,0.1816513928120544,10832.0
2009-12-09,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,58.0,-37300.0,73963.0,-50.43062071576328,-2163400.0
2009-12-09,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,58.01,-700.0,73263.0,-0.9554618292999195,-40607.0
2009-12-09,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,58.0,-37300.0,73963.0,-50.43062071576328,-2163400.0
2009-12-09,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,58.0,-15133.0,29212.0,-51.80405312885116,-877714.0
2009-12-09,COCA COLA CO,KO,Bozer Ahmet C,,S,56.72,-25822.0,42635.0,-60.56526328134162,-1464623.84
2009-12-09,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,58.01,-700.0,73263.0,-0.9554618292999195,-40607.0
2009-12-14,COCA COLA CO,KO,Bozer Ahmet C,,S,58.21,-25000.0,42635.0,-58.637269848715846,-1455250.0
2010-02-12,COCA COLA CO,KO,ROBINSON JAMES D III,,S,52.58,-1902.0,29698.0,-6.40447168159472,-100007.16
2010-03-03,COCA COLA CO,KO,ALLEN HERBERT A,,P,52.95,152080.0,3000000.0,5.069333333333334,8052636.0
2010-03-03,COCA COLA CO,KO,LAGOMASINO MARIA ELENA,,P,53.23,2825.0,4825.0,58.549222797927456,150374.75
2010-05-13,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,54.0,-18000.0,39802.0,-45.22385809758303,-972000.0
2010-10-07,COCA COLA CO,KO,Bozer Ahmet C,,S,59.8,-31188.0,50003.0,-62.37225766454013,-1865042.4
2010-10-07,COCA COLA CO,KO,Bozer Ahmet C,,S,59.5,-33104.0,50003.0,-66.2040277583345,-1969688.0
2010-10-20,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,60.0,-17000.0,108012.0,-15.738991963855867,-1020000.0
2010-10-20,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,60.0,-15133.0,39802.0,-38.02070247726245,-907980.0
2010-10-20,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,60.0,-5500.0,125559.0,-4.380410802889479,-330000.0
2010-10-20,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,60.0,-20000.0,108012.0,-18.51646113394808,-1200000.0
2010-10-20,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,60.0,-1500.0,108012.0,-1.388734585046106,-90000.0
2010-10-20,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,60.0,-20000.0,108012.0,-18.51646113394808,-1200000.0
2010-10-20,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,60.0,-17000.0,108012.0,-15.738991963855867,-1020000.0
2010-10-20,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,60.0,-1500.0,108012.0,-1.388734585046106,-90000.0
2010-10-27,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,61.5,-21725.0,138019.0,-15.740586440997253,-1336087.5
2010-10-27,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,61.5,-75400.0,39802.0,-189.4377166976534,-4637100.0
2010-10-27,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,61.5,-22817.0,115202.0,-19.8060797555598,-1403245.5
2010-10-29,COCA COLA CO,KO,REINICHE DOMINIQUE,,S,60.44,-146500.0,100170.0,-146.251372666467,-8854460.0
2010-10-29,COCA COLA CO,KO,REINICHE DOMINIQUE,,S,60.44,-80000.0,246670.0,-32.431994162241054,-4835200.0
2010-11-02,COCA COLA CO,KO,DILLER BARRY,,P,61.52,120000.0,1131000.0,10.610079575596817,7382400.0
2010-11-03,COCA COLA CO,KO,Wilson Jerry S Jr,Senior Vice President,S,61.84,-38749.0,28566.0,-135.64727298186656,-2396238.16
2010-11-03,COCA COLA CO,KO,Wilson Jerry S Jr,Senior Vice President,S,61.84,-38749.0,28566.0,-135.64727298186656,-2396238.16
2010-11-03,COCA COLA CO,KO,Waller Kathy N,"Vice President, Controller",S,61.77,-18873.0,5910.0,-319.34010152284264,-1165785.21
2010-11-03,COCA COLA CO,KO,CAHILLANE STEVEN A,,S,61.32,-44609.0,166061.0,-26.863020215462992,-2735423.88
2010-11-05,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,62.0,-15134.0,39802.0,-38.02321491382343,-938308.0
2010-11-05,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,62.0,-38500.0,108012.0,-35.64418768285005,-2387000.0
2010-11-05,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,62.0,-38500.0,108012.0,-35.64418768285005,-2387000.0
2010-11-09,COCA COLA CO,KO,REINICHE DOMINIQUE,,S,62.4,-3500.0,0.0,-inf,-218400.0
2010-11-12,COCA COLA CO,KO,DILLER BARRY,,P,62.59,270000.0,1401000.0,19.271948608137045,16899300.0
2010-12-03,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,64.95,-20875.0,39802.0,-52.447113210391436,-1355831.25
2010-12-17,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,65.0,-24000.0,108012.0,-22.219753360737695,-1560000.0
2010-12-17,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,65.0,-24000.0,108012.0,-22.219753360737695,-1560000.0
2010-12-17,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,65.0,-5500.0,120059.0,-4.581080968523809,-357500.0
2011-02-24,COCA COLA CO,KO,GREENBERG EVAN G,,P,64.17,3896.0,3896.0,100.0,250006.32
2011-03-02,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,65.0,-12948.0,112245.0,-11.535480422290526,-841620.0
2011-03-02,COCA COLA CO,KO,DILLER BARRY,,P,64.44,235000.0,1636000.0,14.364303178484109,15143400.0
2011-03-02,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,64.9,-20875.0,43566.0,-47.91580590368636,-1354787.5000000002
2011-03-02,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,65.0,-12948.0,112245.0,-11.535480422290526,-841620.0
2011-04-08,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,67.75,-30000.0,112245.0,-26.727248429774153,-2032500.0
2011-04-08,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,67.75,-30000.0,112245.0,-26.727248429774153,-2032500.0
2011-04-14,COCA COLA CO,KO,Bozer Ahmet C,,S,66.94,-97553.0,74461.0,-131.01220773290717,-6530197.819999999
2011-04-15,COCA COLA CO,KO,Wilson Jerry S Jr,Senior Vice President,S,68.0,-58924.0,35563.0,-165.68905885330258,-4006832.0
2011-04-15,COCA COLA CO,KO,Wilson Jerry S Jr,Senior Vice President,S,68.0,-58924.0,35563.0,-165.68905885330258,-4006832.0
2011-07-21,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,69.47,-16500.0,43566.0,-37.87357113345269,-1146255.0
2011-07-21,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,69.75,-20000.0,112245.0,-17.818165619849434,-1395000.0
2011-07-21,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,69.75,-20000.0,112245.0,-17.818165619849434,-1395000.0
2011-08-16,COCA COLA CO,KO,REINICHE DOMINIQUE,,S,67.52,-65431.0,126075.0,-51.89847313107278,-4417901.12
2011-08-18,COCA COLA CO,KO,REINICHE DOMINIQUE,,S,68.3,-10101.0,115974.0,-8.70971079724766,-689898.2999999999
2011-08-18,COCA COLA CO,KO,REINICHE DOMINIQUE,,S,67.81,-96293.0,115974.0,-83.02981702795455,-6529628.33
2011-09-01,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,70.0,-84370.0,60512.0,-139.42689053410894,-5905900.0
2011-09-01,COCA COLA CO,KO,Bozer Ahmet C,,S,70.0,-123796.0,74893.0,-165.29715727771622,-8665720.0
2011-09-01,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,70.0,-84370.0,60512.0,-139.42689053410894,-5905900.0
2011-09-12,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,71.47,-16500.0,43566.0,-37.87357113345269,-1179255.0
2011-09-19,COCA COLA CO,KO,Eberly Ceree,Senior Vice President,S,69.87,-20122.0,8165.0,-246.44213104715246,-1405924.1400000001
2011-09-21,COCA COLA CO,KO,REINICHE DOMINIQUE,,S,70.07,-50000.0,115974.0,-43.11311155948747,-3503499.9999999995
2011-09-21,COCA COLA CO,KO,REINICHE DOMINIQUE,,S,71.01,-50000.0,115974.0,-43.11311155948747,-3550500.0000000005
2011-10-31,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,68.95,-20000.0,43566.0,-45.90735894963963,-1379000.0
2011-11-03,COCA COLA CO,KO,DILLER BARRY,,P,67.11,100000.0,1736000.0,5.76036866359447,6711000.0
2011-11-07,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,67.35,-63241.0,112245.0,-56.341930598244915,-4259281.35
2011-11-07,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,68.43,-43242.0,112245.0,-38.52465588667647,-2959050.0600000005
2011-11-07,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,67.35,-63241.0,112245.0,-56.341930598244915,-4259281.35
2011-11-07,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,68.43,-43242.0,112245.0,-38.52465588667647,-2959050.0600000005
2011-11-14,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,68.12,-48000.0,92662.0,-51.801169843085624,-3269760.0
2011-11-14,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,67.28,-89031.0,92662.0,-96.08145733957825,-5990005.68
2011-11-14,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,68.12,-48000.0,92662.0,-51.801169843085624,-3269760.0
2011-11-14,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,67.28,-89031.0,92662.0,-96.08145733957825,-5990005.68
2011-12-02,COCA COLA CO,KO,CAHILLANE STEVEN A,,S,67.2,-52292.0,162660.0,-32.1480388540514,-3514022.4000000004
2012-02-23,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,68.8,-6478.0,59784.0,-10.835675097015924,-445686.39999999997
2012-02-23,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,68.68,-144780.0,77611.0,-186.54572161162721,-9943490.4
2012-02-24,COCA COLA CO,KO,LAGOMASINO MARIA ELENA,,P,69.27,3000.0,7825.0,38.33865814696485,207810.0
2012-02-28,COCA COLA CO,KO,Daley Richard M,,P,68.86,1000.0,1000.0,100.0,68860.0
2012-02-28,COCA COLA CO,KO,Wilson Jerry S Jr,Senior Vice President,S,68.84,-75949.0,46424.0,-163.59856970532482,-5228329.16
2012-02-28,COCA COLA CO,KO,Wilson Jerry S Jr,Senior Vice President,S,68.84,-75949.0,46424.0,-163.59856970532482,-5228329.16
2012-03-01,COCA COLA CO,KO,GREENBERG EVAN G,,P,68.86,3626.0,7522.0,48.20526455729859,249686.36
2012-03-02,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,69.71,-20000.0,59784.0,-33.45376689415228,-1394199.9999999998
2012-03-06,COCA COLA CO,KO,Wollaert Guy,Senior Vice President,S,69.15,-19017.0,15100.0,-125.94039735099338,-1315025.55
2012-03-26,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,71.45,-15000.0,36354.0,-41.2609341475491,-1071750.0
2012-03-30,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,72.0,-85000.0,0.0,-inf,-6120000.0
2012-03-30,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,73.45,-15000.0,36354.0,-41.2609341475491,-1101750.0
2012-03-30,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,72.0,-85000.0,0.0,-inf,-6120000.0
2012-04-03,COCA COLA CO,KO,Jordan Glenn,,S,73.64,-51449.0,59796.0,-86.04087229915044,-3788704.36
2012-05-01,COCA COLA CO,KO,DILLER BARRY,,P,76.98,264000.0,2000000.0,13.200000000000001,20322720.0
2012-05-01,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,76.0,-85000.0,0.0,-inf,-6460000.0
2012-05-01,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,76.0,-85000.0,0.0,-inf,-6460000.0
2012-05-01,COCA COLA CO,KO,GREENBERG EVAN G,,P,76.75,6507.0,14029.0,46.382493406515074,499412.25
2012-05-02,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,76.78,-20000.0,36354.0,-55.014578863398796,-1535600.0
2012-05-02,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,76.33,-91782.0,52369.0,-175.26017300311253,-7005720.06
2012-05-09,COCA COLA CO,KO,Daley Richard M,,P,77.14,200.0,1200.0,16.666666666666664,15428.0
2012-05-11,COCA COLA CO,KO,Wollaert Guy,Senior Vice President,S,76.86,-22950.0,15100.0,-151.98675496688742,-1763937.0
2012-05-15,COCA COLA CO,KO,Eberly Ceree,Senior Vice President,S,77.55,-6642.0,9816.0,-67.66503667481662,-515087.1
2012-05-22,COCA COLA CO,KO,REINICHE DOMINIQUE,,S,74.23,-97073.0,115974.0,-83.70238156828255,-7205728.79
2012-05-22,COCA COLA CO,KO,REINICHE DOMINIQUE,,S,73.78,-80000.0,115974.0,-68.98097849517995,-5902400.0
2012-07-03,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,78.5,-12500.0,52369.0,-23.869082854360403,-981250.0
2012-07-31,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,80.0,-85000.0,0.0,-inf,-6800000.0
2012-07-31,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,80.0,-85000.0,0.0,-inf,-6800000.0
2012-07-31,COCA COLA CO,KO,Waller Kathy N,"Vice President, Controller",S,80.0,-6524.0,9662.0,-67.52225212171393,-521920.0
2012-07-31,COCA COLA CO,KO,Anderson Harry L,Senior Vice President,S,79.45,-10000.0,36354.0,-27.507289431699398,-794500.0
2012-08-02,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,,S,81.25,-12500.0,52369.0,-23.869082854360403,-1015625.0
2012-08-02,COCA COLA CO,KO,Jordan Glenn,,S,80.94,-32640.0,27156.0,-120.19443216968627,-2641881.6
2012-08-02,COCA COLA CO,KO,Jordan Glenn,,S,81.08,-17908.0,32248.0,-55.53212602331927,-1451980.64
2012-10-25,COCA COLA CO,KO,Daley Richard M,,P,36.7,1000.0,3400.0,29.411764705882355,36700.0
2012-12-19,COCA COLA CO,KO,Wollaert Guy,Senior Vice President,S,37.5,-50000.0,30200.0,-165.56291390728478,-1875000.0
2013-02-07,COCA COLA CO,KO,Wollaert Guy,Senior Vice President,S,38.0,-50000.0,30200.0,-165.56291390728478,-1900000.0
2013-02-25,COCA COLA CO,KO,Walter Glen,,S,38.38,-2539.0,31004.0,-8.189265901174043,-97446.82
2013-02-28,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,Senior Vice President,S,37.95,-208286.0,183338.0,-113.60765362336231,-7904453.7
2013-03-07,COCA COLA CO,KO,Kalumbu Nathan,,S,38.7,-35000.0,33109.0,-105.71143797758917,-1354500.0
2013-03-12,COCA COLA CO,KO,Wollaert Guy,Senior Vice President,S,39.1,-90476.0,55400.0,-163.31407942238266,-3537611.6
2013-03-14,COCA COLA CO,KO,Daley Richard M,,P,39.16,600.0,4000.0,15.0,23495.999999999996
2013-03-22,COCA COLA CO,KO,REYES JOSE OCTAVIO,,S,39.5,-291500.0,110100.0,-264.7593097184378,-11514250.0
2013-03-22,COCA COLA CO,KO,TRIPODI JOSEPH V,Executive Vice President,S,40.0,-187000.0,117462.0,-159.20042226422163,-7480000.0
2013-03-28,COCA COLA CO,KO,REYES JOSE OCTAVIO,,S,40.5,-320000.0,110100.0,-290.644868301544,-12960000.0
2013-04-11,COCA COLA CO,KO,FAYARD GARY P,Executive Vice President & CFO,S,41.0,-224000.0,188944.0,-118.55364552459989,-9184000.0
2013-04-11,COCA COLA CO,KO,CUMMINGS ALEXANDER B JR,Executive Vice President,S,41.0,-201482.0,85800.0,-234.82750582750583,-8260762.0
2013-04-11,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,Senior Vice President,S,41.0,-10000.0,181678.0,-5.504243771948173,-410000.0
2013-04-11,COCA COLA CO,KO,DOUGLAS J ALEXANDER JR,Senior Vice President,S,40.75,-20000.0,191678.0,-10.434165631945241,-815000.0
2013-04-11,COCA COLA CO,KO,FAYARD GARY P,Executive Vice President & CFO,S,41.0,-224000.0,188944.0,-118.55364552459989,-9184000.0
2013-04-11,COCA COLA CO,KO,FAYARD GARY P,Executive Vice President & CFO,S,41.0,-224000.0,188944.0,-118.55364552459989,-9184000.0
