filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2022-06-09,"Meta Platforms, Inc.",META,Newstead Jennifer,Chief Legal Officer,S,191.93,-342.0,19457.0,-1.7577221565503418,-65640.06
2022-06-16,"Meta Platforms, Inc.",META,Newstead Jennifer,Chief Legal Officer,S,165.89,-342.0,19115.0,-1.7891708082657598,-56734.38
2022-06-23,"Meta Platforms, Inc.",META,Newstead Jennifer,Chief Legal Officer,S,166.11,-342.0,18773.0,-1.8217653012304909,-56809.62
2022-06-30,"Meta Platforms, Inc.",META,Newstead Jennifer,Chief Legal Officer,S,169.9,-342.0,18431.0,-1.8555694210840432,-58105.8
2022-07-07,"Meta Platforms, Inc.",META,Newstead Jennifer,Chief Legal Officer,S,158.12,-342.0,18089.0,-1.8906517773232352,-54077.04
2022-07-14,"Meta Platforms, Inc.",META,Newstead Jennifer,Chief Legal Officer,S,164.8,-342.0,17747.0,-1.927086268101651,-56361.600000000006
2022-07-21,"Meta Platforms, Inc.",META,Newstead Jennifer,Chief Legal Officer,S,170.37,-342.0,17405.0,-1.9649525998276358,-58266.54
2022-07-28,"Meta Platforms, Inc.",META,Newstead Jennifer,Chief Legal Officer,S,165.8,-342.0,17063.0,-2.004336869249253,-56703.600000000006
2022-08-04,"Meta Platforms, Inc.",META,Newstead Jennifer,Chief Legal Officer,S,158.14,-342.0,16721.0,-2.045332216972669,-54083.88
2022-08-11,"Meta Platforms, Inc.",META,Newstead Jennifer,Chief Legal Officer,S,168.75,-342.0,16379.0,-2.088039562854875,-57712.5
2022-08-17,"Meta Platforms, Inc.",META,Levine Marne L.,Chief Business Officer,S,180.5,-10253.0,12895.0,-79.51143854207056,-1850666.5
2022-08-17,"Meta Platforms, Inc.",META,Bosworth Andrew,Chief Technology Officer,S,180.5,-11718.0,14671.0,-79.87185604253288,-2115099.0
2022-08-17,"Meta Platforms, Inc.",META,Clegg Nicholas,"President, Global Affairs",S,179.53,-4459.0,7528.0,-59.23219978746015,-800524.27
2022-08-17,"Meta Platforms, Inc.",META,Clegg Nicholas,"President, Global Affairs",S,178.71,-6482.0,11987.0,-54.07524818553433,-1158398.22
2022-08-17,"Meta Platforms, Inc.",META,Clegg Nicholas,"President, Global Affairs",S,180.5,-6029.0,16316.0,-36.9514586908556,-1088234.5
2022-08-17,"Meta Platforms, Inc.",META,Bosworth Andrew,Chief Technology Officer,S,176.48,-17428.0,0.0,-inf,-3075693.44
