filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.74,-21800.0,74271.0,-29.35196779362066,-582932.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.77,-16500.0,236171.0,-6.986463198275826,-441705.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.76,-12700.0,223471.0,-5.683064021729889,-339852.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.75,-127400.0,96071.0,-132.610256997429,-3407950.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.75,-127400.0,96071.0,-132.610256997429,-3407950.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.73,-17600.0,56671.0,-31.056448624516946,-470448.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.77,-16500.0,236171.0,-6.986463198275826,-441705.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.76,-12700.0,223471.0,-5.683064021729889,-339852.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.74,-21800.0,74271.0,-29.35196779362066,-582932.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.73,-17600.0,56671.0,-31.056448624516946,-470448.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.75,-127400.0,96071.0,-132.610256997429,-3407950.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.76,-12700.0,223471.0,-5.683064021729889,-339852.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.73,-17600.0,56671.0,-31.056448624516946,-470448.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.74,-21800.0,74271.0,-29.35196779362066,-582932.0
2006-01-11,MICROSOFT CORP,MSFT,COLE DAVID WAYNE,Senior Vice President,S,26.77,-16500.0,236171.0,-6.986463198275826,-441705.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,27.25,-5000.0,352075.0,-1.4201519562593197,-136250.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,27.2,-5000.0,357075.0,-1.4002660505496045,-136000.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,27.41,-5000.0,336875.0,-1.4842300556586272,-137050.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,28.35,-5000.0,456625.0,-1.094990418833835,-141750.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,27.15,-5000.0,362075.0,-1.3809293654629566,-135750.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,28.19,-10000.0,491625.0,-2.0340706839562674,-281900.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,27.35,-5000.0,332075.0,-1.505683956937439,-136750.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,27.3,-15000.0,337075.0,-4.450048208855597,-409500.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,28.25,-5000.0,476625.0,-1.049042748492001,-141250.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,28.2,-5000.0,486625.0,-1.0274852298998203,-141000.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,28.22,-5000.0,481625.0,-1.0381520892810798,-141100.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,28.32,-10000.0,461625.0,-2.166260492824262,-283200.0
2006-02-01,MICROSOFT CORP,MSFT,BACH ROBERT J,Senior Vice President,S,28.26,-5000.0,471625.0,-1.0601643254704478,-141300.0
2006-02-01,MICROSOFT CORP,MSFT,Di Valerio J Scott,Chief Accounting Officer,S,27.9,-590.0,56310.0,-1.047771266204937,-16461.0
2006-02-03,MICROSOFT CORP,MSFT,ALLCHIN JAMES E,Group Vice President,S,27.62,-50000.0,19765.0,-252.97242600556538,-1381000.0
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.48,-93000.0,995199336.0,-0.009344861540381897,-2555640.0
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.44,-100000.0,994799336.0,-0.010052278523032709,-2744000.0
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.56,-2340.0,996446996.0,-0.00023483436744687624,-64490.399999999994
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.43,-100000.0,994699336.0,-0.010053289107654536,-2743000.0
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.45,-150000.0,994899336.0,-0.015076902212346035,-4117500.0
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.63,-100000.0,997299336.0,-0.010027079773369066,-2763000.0
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.5,-150000.0,995542336.0,-0.015067164356132414,-4125000.0
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.47,-150000.0,995049336.0,-0.015074629425208722,-4120500.0
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.52,-67576.0,996192336.0,-0.006783429018470184,-1859691.52
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.51,-500000.0,995692336.0,-0.05021631501239154,-13755000.0
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.54,-3630.0,996382706.0,-0.0003643178447539213,-99970.2
2006-02-07,MICROSOFT CORP,MSFT,GATES WILLIAM H III,Chairman of the Board,S,27.53,-122794.0,996259912.0,-0.012325498448842535,-3380518.8200000003
