filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-06,NETFLIX INC,NFLX,MCCARTHY W BARRY JR,CFO,S,24.91,-4000.0,58543.0,-6.832584595938028,-99640.0
2006-01-06,NETFLIX INC,NFLX,HASTINGS REED,CEO,S,24.88,-7500.0,3801348.0,-0.19729843202990097,-186600.0
2006-01-06,NETFLIX INC,NFLX,HASTINGS REED,CEO,S,24.88,-2500.0,0.0,-inf,-62200.0
2006-01-13,NETFLIX INC,NFLX,MCCARTHY W BARRY JR,CFO,S,25.55,-4000.0,58543.0,-6.832584595938028,-102200.0
2006-01-13,NETFLIX INC,NFLX,HASTINGS REED,CEO,S,24.7,-2500.0,0.0,-inf,-61750.0
2006-01-13,NETFLIX INC,NFLX,HASTINGS REED,CEO,S,24.7,-7500.0,3783848.0,-0.19821092179178446,-185250.0
2006-01-20,NETFLIX INC,NFLX,HASTINGS REED,CEO,S,24.83,-2500.0,0.0,-inf,-62074.99999999999
2006-01-20,NETFLIX INC,NFLX,HASTINGS REED,CEO,S,24.83,-7500.0,3776348.0,-0.19860457775607546,-186225.0
2006-01-20,NETFLIX INC,NFLX,MCCARTHY W BARRY JR,CFO,S,24.85,-4000.0,58543.0,-6.832584595938028,-99400.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.53,-500.0,82641.0,-0.6050265606660132,-11765.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.51,-300.0,82641.0,-0.36301593639960794,-7053.000000000001
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.68,-2472.0,82641.0,-2.9912513159327694,-58536.96
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.63,-100.0,82641.0,-0.12100531213320265,-2363.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,28.5,-2858.0,77641.0,-3.6810448087994745,-81453.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.56,-100.0,82641.0,-0.12100531213320265,-2356.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.65,-10000.0,82641.0,-12.100531213320265,-236500.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.57,-400.0,82641.0,-0.4840212485328106,-9428.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.7,-2076.0,82641.0,-2.512070279885287,-49201.2
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.73,-853.0,82641.0,-1.0321753124962185,-20241.69
2006-01-25,NETFLIX INC,NFLX,STANGER GREGORY S,,P,28.6,200.0,11504.0,1.7385257301808066,5720.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.55,-700.0,82641.0,-0.8470371849324185,-16485.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.72,-600.0,82641.0,-0.7260318727992159,-14232.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.5,-2033.0,82641.0,-2.4600379956680096,-47775.5
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.5,-2018.0,82641.0,-2.4418871988480295,-47423.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.5,-32.0,82641.0,-0.038721699882624847,-752.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.67,-100.0,82641.0,-0.12100531213320265,-2367.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,28.5,-1607.0,77641.0,-2.0697827178938963,-45799.5
2006-01-25,NETFLIX INC,NFLX,STANGER GREGORY S,,P,28.37,200.0,11132.0,1.7966223499820337,5674.0
2006-01-25,NETFLIX INC,NFLX,STANGER GREGORY S,,P,28.35,300.0,10932.0,2.7442371020856204,8505.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,28.5,-1006.0,77641.0,-1.2957071650287864,-28671.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,28.5,-2858.0,77641.0,-3.6810448087994745,-81453.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.73,-2858.0,82641.0,-3.4583318207669316,-67820.34
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.7,-24.0,82641.0,-0.029041274911968635,-568.8
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.73,-33.0,82641.0,-0.03993175300395687,-783.09
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.69,-100.0,82641.0,-0.12100531213320265,-2369.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,28.5,-1430.0,77641.0,-1.8418103836890303,-40755.0
2006-01-25,NETFLIX INC,NFLX,STANGER GREGORY S,,P,28.26,200.0,10632.0,1.8811136192626037,5652.0
2006-01-25,NETFLIX INC,NFLX,STANGER GREGORY S,,P,28.55,172.0,11304.0,1.521585279547063,4910.6
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,28.5,-1634.0,77641.0,-2.104558158704808,-46569.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.73,-2858.0,82641.0,-3.4583318207669316,-67820.34
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,28.5,-5000.0,77641.0,-6.4398964464651405,-142500.0
2006-01-25,NETFLIX INC,NFLX,KILGORE LESLIE J,Chief Marketing Officer,S,23.65,-1992.0,70651.0,-2.8194930008067827,-47110.799999999996
2006-01-25,NETFLIX INC,NFLX,KILGORE LESLIE J,Chief Marketing Officer,S,23.65,-508.0,70651.0,-0.719027331531047,-12014.199999999999
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.68,-2160.0,82641.0,-2.613714742077177,-51148.8
2006-01-25,NETFLIX INC,NFLX,STANGER GREGORY S,,P,29.15,200.0,11904.0,1.6801075268817203,5830.0
2006-01-25,NETFLIX INC,NFLX,DILLON THOMAS R,Chief Operations Officer,S,23.68,-268.0,82641.0,-0.3242942365169831,-6346.24
2006-01-25,NETFLIX INC,NFLX,STANGER GREGORY S,,P,28.63,200.0,11704.0,1.7088174982911826,5726.0
2006-01-30,NETFLIX INC,NFLX,KILGORE LESLIE J,Chief Marketing Officer,S,28.03,-2500.0,70651.0,-3.5385203323378294,-70075.0
2006-01-30,NETFLIX INC,NFLX,HASTINGS REED,CEO,S,28.8,-2500.0,0.0,-inf,-72000.0
2006-01-30,NETFLIX INC,NFLX,HASTINGS REED,CEO,S,28.8,-7500.0,3768848.0,-0.19899980046953342,-216000.0
2006-01-30,NETFLIX INC,NFLX,MCCARTHY W BARRY JR,CFO,S,28.5,-4000.0,58543.0,-6.832584595938028,-114000.0
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-368348.0,0.0,-inf,-10048533.440000001
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-56237.0,0.0,-inf,-1534145.36
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-56237.0,0.0,-inf,-1534145.36
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-56237.0,0.0,-inf,-1534145.36
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-56237.0,0.0,-inf,-1534145.36
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-1185784.0,2375610.0,-49.914927113457175,-32348187.52
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-1185784.0,2375610.0,-49.914927113457175,-32348187.52
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-1185784.0,2375610.0,-49.914927113457175,-32348187.52
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-1185784.0,2375610.0,-49.914927113457175,-32348187.52
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-56237.0,0.0,-inf,-1534145.36
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-56237.0,0.0,-inf,-1534145.36
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-56237.0,0.0,-inf,-1534145.36
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-56237.0,0.0,-inf,-1534145.36
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-56237.0,0.0,-inf,-1534145.36
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-283191.0,0.0,-inf,-7725450.48
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-1185784.0,2375610.0,-49.914927113457175,-32348187.52
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-368348.0,0.0,-inf,-10048533.440000001
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-368348.0,0.0,-inf,-10048533.440000001
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-368348.0,0.0,-inf,-10048533.440000001
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TECHNOLOGY CROSSOVER MANAGEMENT IV LLC,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,KIMBALL RICK,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,HOAG JAY C,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TCV IV STRATEGIC PARTNERS LP,,S,27.28,-11967.0,0.0,-inf,-326459.76
2006-01-31,NETFLIX INC,NFLX,TCV IV LP,,S,27.28,-11967.0,0.0,-inf,-326459.76
