filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-03,NVIDIA CORP,NVDA,VIVOLI DANIEL,"Vice President, Marketing",S,36.86,-16000.0,121564.0,-13.161791319798624,-589760.0
2006-01-03,NVIDIA CORP,NVDA,VIVOLI DANIEL,"Vice President, Marketing",S,36.86,-12000.0,2700.0,-444.44444444444446,-442320.0
2006-03-01,NVIDIA CORP,NVDA,STEVENS MARK A,,S,47.43,-11657.0,226678.0,-5.1425369907975185,-552891.51
2006-03-01,NVIDIA CORP,NVDA,STEVENS MARK A,,S,47.14,-226678.0,0.0,-inf,-10685600.92
2006-03-03,NVIDIA CORP,NVDA,FISHER JEFFREY D,"Senior VP, GPU Business Unit",S,48.96,-20000.0,136365.0,-14.666520001466651,-979200.0
2006-03-03,NVIDIA CORP,NVDA,FISHER JEFFREY D,"Senior VP, GPU Business Unit",S,48.97,-7500.0,1399.0,-536.097212294496,-367275.0
2006-03-03,NVIDIA CORP,NVDA,FISHER JEFFREY D,"Senior VP, GPU Business Unit",S,49.02,-7500.0,1399.0,-536.097212294496,-367650.0
2006-03-03,NVIDIA CORP,NVDA,FISHER JEFFREY D,"Senior VP, GPU Business Unit",S,48.96,-15000.0,1399.0,-1072.194424588992,-734400.0
2006-03-14,NVIDIA CORP,NVDA,HUANG JEN HSUN,President and CEO,S,48.29,-48750.0,753663.0,-6.468408293892629,-2354137.5
2006-03-14,NVIDIA CORP,NVDA,HUANG JEN HSUN,President and CEO,S,48.29,-65000.0,570000.0,-11.403508771929824,-3138850.0
2006-03-14,NVIDIA CORP,NVDA,HUANG JEN HSUN,President and CEO,S,48.29,-105000.0,635000.0,-16.535433070866144,-5070450.0
2006-03-16,NVIDIA CORP,NVDA,SEAWELL A BROOKE,,S,49.1,-20000.0,0.0,-inf,-982000.0
2006-03-21,NVIDIA CORP,NVDA,JONES HARVEY C,,S,48.77,-93399.0,567336.0,-16.462731079994924,-4555069.23
2006-03-21,NVIDIA CORP,NVDA,JONES HARVEY C,,S,50.63,-9301.0,567336.0,-1.639416500980019,-470909.63
2006-03-21,NVIDIA CORP,NVDA,JONES HARVEY C,,S,50.63,-5000.0,567336.0,-0.8813119562305229,-253150.0
