filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.36,-3500.0,459035.0,-0.7624690927707037,-200760.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.68,-300.0,566835.0,-0.0529254544973405,-17304.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.33,-14900.0,375135.0,-3.97190344809202,-854217.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.65,-100.0,563835.0,-0.017735685085175628,-5765.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.66,-1100.0,563935.0,-0.19505794107476926,-63425.99999999999
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.67,-1800.0,565035.0,-0.3185643367225039,-103806.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.45,-34600.0,519235.0,-6.663649407301126,-1987770.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.33,-14900.0,375135.0,-3.97190344809202,-854217.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.35,-58900.0,400135.0,-14.720031989203644,-3377915.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.34,-10100.0,390035.0,-2.589511197713026,-579134.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.38,-3900.0,477335.0,-0.817036253365037,-223782.0
2006-02-14,PEPSICO INC,PEP,HUDSON DAWN E,"Pres & CEO, PCNA",S,57.57,-500.0,65523.0,-0.7630908230697617,-28785.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.69,-200.0,567135.0,-0.03526497218475319,-11538.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.53,-100.0,562035.0,-0.017792486233063776,-5753.0
2006-02-14,PEPSICO INC,PEP,HUDSON DAWN E,"Pres & CEO, PCNA",S,57.53,-1600.0,101138.0,-1.5819968755561706,-92048.0
2006-02-14,PEPSICO INC,PEP,HUDSON DAWN E,"Pres & CEO, PCNA",S,57.52,-39200.0,61938.0,-63.289095547160066,-2254784.0
2006-02-14,PEPSICO INC,PEP,HUDSON DAWN E,"Pres & CEO, PCNA",S,57.51,-9300.0,52638.0,-17.6678445229682,-534843.0
2006-02-14,PEPSICO INC,PEP,HUDSON DAWN E,"Pres & CEO, PCNA",S,57.54,-7900.0,48138.0,-16.411151273422245,-454566.0
2006-02-14,PEPSICO INC,PEP,HUDSON DAWN E,"Pres & CEO, PCNA",S,57.49,-5700.0,42738.0,-13.33707707426646,-327693.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.37,-14800.0,462535.0,-3.1997578561622366,-849076.0
2006-02-14,PEPSICO INC,PEP,HUDSON DAWN E,"Pres & CEO, PCNA",S,57.56,-1400.0,64123.0,-2.183303962696692,-80584.0
2006-02-14,PEPSICO INC,PEP,HUDSON DAWN E,"Pres & CEO, PCNA",S,57.55,-8085.0,56038.0,-14.427709768371463,-465291.75
2006-02-14,PEPSICO INC,PEP,HUDSON DAWN E,"Pres & CEO, PCNA",S,57.5,-4200.0,48438.0,-8.670878236095628,-241500.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.57,-400.0,562135.0,-0.07115728428224537,-23028.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.61,-1200.0,562535.0,-0.21332006008515028,-69132.0
2006-02-14,PEPSICO INC,PEP,HUDSON DAWN E,"Pres & CEO, PCNA",S,57.53,-5400.0,42738.0,-12.635125649305067,-310662.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.52,-2200.0,559835.0,-0.3929729295238776,-126544.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.7,-3500.0,567335.0,-0.6169194567583527,-201950.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.62,-100.0,563735.0,-0.017738831188412997,-5762.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.51,-200.0,559635.0,-0.03573757895771351,-11502.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.5,-1200.0,558435.0,-0.21488624459426792,-69000.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.49,-1500.0,556935.0,-0.26933125050499607,-86235.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.48,-2300.0,554635.0,-0.4146871365853219,-132204.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.46,-800.0,553835.0,-0.14444735345364595,-45968.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.42,-5600.0,510335.0,-1.0973184280913517,-321552.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.43,-2500.0,515935.0,-0.4845571632085437,-143575.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.41,-1900.0,508435.0,-0.3736957526527481,-109079.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.4,-26300.0,482135.0,-5.4549037095419335,-1509620.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.39,-900.0,481235.0,-0.18701881617089364,-51651.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.72,-300.0,570835.0,-0.0525545910814859,-17316.0
2006-02-14,PEPSICO INC,PEP,REINEMUND STEVEN,Chairman and CEO,S,57.44,-800.0,518435.0,-0.15431056930955667,-45952.0
2006-02-23,PEPSICO INC,PEP,BRIDGMAN PETER A,SVP and Controller,S,58.9,-22200.0,42259.43,-52.532653658603536,-1307580.0
2006-02-23,PEPSICO INC,PEP,BRIDGMAN PETER A,SVP and Controller,S,58.97,-2858.0,64459.43,-4.433796575613529,-168536.26
2006-02-28,PEPSICO INC,PEP,ALLEN ROBERT E,,S,59.74,-839.0,12430.0,-6.749798873692679,-50121.86
2006-02-28,PEPSICO INC,PEP,ALLEN ROBERT E,,S,59.73,-1900.0,10530.0,-18.043684710351375,-113487.0
2006-02-28,PEPSICO INC,PEP,ALLEN ROBERT E,,S,59.72,-900.0,9630.0,-9.345794392523365,-53748.0
2006-03-03,PEPSICO INC,PEP,ROCKEFELLER SHARON PERCY,,S,59.15,-3639.0,32359.0,-11.245712166630613,-215246.85
2006-03-03,PEPSICO INC,PEP,ROCKEFELLER SHARON PERCY,,S,59.11,-1600.0,33559.0,-4.76772251854942,-94576.0
2006-03-03,PEPSICO INC,PEP,ROCKEFELLER SHARON PERCY,,S,59.08,-1200.0,35159.0,-3.4130663556983984,-70896.0
2006-03-03,PEPSICO INC,PEP,ROCKEFELLER SHARON PERCY,,S,59.02,-200.0,38159.0,-0.5241227495479441,-11804.0
2006-03-03,PEPSICO INC,PEP,ROCKEFELLER SHARON PERCY,,S,59.12,-1200.0,32359.0,-3.708396427578108,-70944.0
2006-03-03,PEPSICO INC,PEP,ROCKEFELLER SHARON PERCY,,S,59.0,-8300.0,39059.0,-21.249903991397627,-489700.0
2006-03-03,PEPSICO INC,PEP,ROCKEFELLER SHARON PERCY,,S,59.07,-1200.0,36359.0,-3.300420803652466,-70884.0
2006-03-03,PEPSICO INC,PEP,ROCKEFELLER SHARON PERCY,,S,59.06,-600.0,37559.0,-1.5974866210495486,-35436.0
2006-03-03,PEPSICO INC,PEP,ROCKEFELLER SHARON PERCY,,S,59.01,-700.0,38359.0,-1.824865090330822,-41307.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.82,-3400.0,49806.0,-6.826486768662409,-203388.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.81,-5200.0,53206.0,-9.77333383452994,-311012.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.8,-5500.0,58406.0,-9.416840735540868,-328900.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.79,-5900.0,63906.0,-9.23230995524677,-352761.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.78,-1900.0,69806.0,-2.7218290691344587,-113582.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.76,-9100.0,71706.0,-12.690709285136531,-543816.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.57,-1000.0,82106.0,-1.2179377877378024,-59570.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.56,-1300.0,83106.0,-1.5642673212523766,-77428.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.55,-5500.0,84406.0,-6.516124446129422,-327525.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.54,-900.0,89906.0,-1.0010455364491804,-53586.0
2006-03-09,PEPSICO INC,PEP,MCKENNA MATTHEW M,SVP of Finance,S,59.58,-1300.0,80806.0,-1.6087914263792291,-77454.0
2006-05-03,PEPSICO INC,PEP,Compton John C,Pres & CEO of QTG,S,58.37,-277.0,47716.0,-0.5805180652192137,-16168.49
2006-05-03,PEPSICO INC,PEP,Compton John C,Pres & CEO of QTG,S,58.38,-400.0,47316.0,-0.84537999830924,-23352.0
