filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2052.0,6339.0,-32.371036441079035,-51854.04
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2052.0,6339.0,-32.371036441079035,-51854.04
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2268.0,6339.0,-35.778513961192616,-57312.36
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2268.0,6339.0,-35.778513961192616,-57312.36
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2052.0,6339.0,-32.371036441079035,-51854.04
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2052.0,6339.0,-32.371036441079035,-51854.04
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2268.0,6339.0,-35.778513961192616,-57312.36
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2052.0,6339.0,-32.371036441079035,-51854.04
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2268.0,6339.0,-35.778513961192616,-57312.36
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2052.0,6339.0,-32.371036441079035,-51854.04
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2268.0,6339.0,-35.778513961192616,-57312.36
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2268.0,6339.0,-35.778513961192616,-57312.36
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2052.0,6339.0,-32.371036441079035,-51854.04
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2268.0,6339.0,-35.778513961192616,-57312.36
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2268.0,6339.0,-35.778513961192616,-57312.36
2006-02-17,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.27,-2052.0,6339.0,-32.371036441079035,-51854.04
2006-03-07,PFIZER INC,PFE,CANGIALOSI LORETTA V,"Vice President, Controller",S,26.17,-4380.0,161865.0,-2.7059586692614217,-114624.6
2006-04-24,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.07,-33600.0,307310.0,-10.933584979336826,-842352.0
2006-04-24,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.07,-33600.0,307310.0,-10.933584979336826,-842352.0
2006-04-24,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.07,-33600.0,307310.0,-10.933584979336826,-842352.0
2006-04-24,PFIZER INC,PFE,FECZKO JOSEPH M,Vice President,S,25.07,-33600.0,307310.0,-10.933584979336826,-842352.0
2006-05-02,PFIZER INC,PFE,KATEN KAREN L,Vice Chairman,S,25.11,-159948.0,937401.0,-17.062921844546782,-4016294.28
2006-05-02,PFIZER INC,PFE,CANGIALOSI LORETTA V,"Vice President, Controller",S,25.14,-5416.0,154179.0,-3.512800057076515,-136158.24
