filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-03-23,TARGET CORP,TGT,JOHNSON JAMES A /DC/,,S,53.31,-3500.0,17116.0,-20.448702967983174,-186585.0
2006-04-05,TARGET CORP,TGT,JOHNSON JAMES A /DC/,,S,51.54,-3556.0,17116.0,-20.775882215470904,-183276.24
2006-05-18,TARGET CORP,TGT,KOVACEVICH RICHARD M,,P,48.75,2000.0,63074.0,3.1708786504740463,97500.0
2006-06-07,TARGET CORP,TGT,KOVACEVICH RICHARD M,,P,47.72,2000.0,65074.0,3.0734241017918063,95440.0
2006-07-19,TARGET CORP,TGT,KOVACEVICH RICHARD M,,P,45.01,2000.0,68424.0,2.92295101134105,90020.0
2006-08-18,TARGET CORP,TGT,ULRICH ROBERT J,Executive Officer,S,50.03,-497744.0,63299.0,-786.3378568381808,-24902132.32
2006-08-18,TARGET CORP,TGT,ULRICH ROBERT J,Executive Officer,S,50.03,-497744.0,63299.0,-786.3378568381808,-24902132.32
2006-08-21,TARGET CORP,TGT,ULRICH ROBERT J,Executive Officer,S,49.87,-144400.0,63299.0,-228.12366704055358,-7201228.0
2006-08-21,TARGET CORP,TGT,ULRICH ROBERT J,Executive Officer,S,49.87,-144400.0,63299.0,-228.12366704055358,-7201228.0
2006-09-20,TARGET CORP,TGT,JOHNSON JAMES A /DC/,,S,54.27,-3000.0,17116.0,-17.527459686842718,-162810.0
2006-09-21,TARGET CORP,TGT,TRUJILLO SOLOMON D,,S,55.1,-2840.0,25684.0,-11.057467684161345,-156484.0
2006-10-11,TARGET CORP,TGT,STEINHAFEL GREGG W,Executive Officer,S,58.53,-105850.0,138516.0,-76.41716480406595,-6195400.5
2006-10-26,TARGET CORP,TGT,Scully Terrence J,Executive Officer,S,59.05,-14835.0,0.0,-inf,-876006.75
2006-11-15,TARGET CORP,TGT,SCOVANNER DOUGLAS A,Executive Officer,S,59.25,-45656.0,76124.0,-59.9758289107246,-2705118.0
2006-11-15,TARGET CORP,TGT,SCOVANNER DOUGLAS A,Executive Officer,S,59.25,-45656.0,76124.0,-59.9758289107246,-2705118.0
2007-01-16,TARGET CORP,TGT,GRIFFITH JOHN D,Executive Officer,S,59.74,-18980.0,20644.0,-91.93954659949623,-1133865.2
2007-01-18,TARGET CORP,TGT,JOHNSON JAMES A /DC/,,S,60.35,-3000.0,19439.0,-15.432892638510213,-181050.0
2007-03-09,TARGET CORP,TGT,Baer Timothy R,Executive Officer,S,61.82,-6644.0,9834.0,-67.56152125279642,-410732.08
2007-03-09,TARGET CORP,TGT,JOHNSON JAMES A /DC/,,S,62.16,-3292.0,19439.0,-16.93502752199187,-204630.72
2007-03-15,TARGET CORP,TGT,TRUJILLO SOLOMON D,,S,60.46,-1665.0,33321.0,-4.996848834068605,-100665.9
2007-03-21,TARGET CORP,TGT,FRANCIS MICHAEL,Executive Officer,S,60.56,-13550.0,20684.0,-65.50957261651517,-820588.0
2007-06-07,TARGET CORP,TGT,KOVACEVICH RICHARD M,,S,63.9,-4000.0,78360.0,-5.104645227156713,-255600.0
2007-06-15,TARGET CORP,TGT,ULRICH ROBERT J,Executive Officer,S,63.52,-900000.0,69787.0,-1289.638471348532,-57168000.0
2007-06-15,TARGET CORP,TGT,ULRICH ROBERT J,Executive Officer,S,63.5,-100000.0,69787.0,-143.29316348317022,-6350000.0
2007-06-15,TARGET CORP,TGT,ULRICH ROBERT J,Executive Officer,S,63.52,-900000.0,69787.0,-1289.638471348532,-57168000.0
2007-06-15,TARGET CORP,TGT,SCOVANNER DOUGLAS A,Executive Officer,S,63.83,-22400.0,117620.0,-19.044380207447713,-1429792.0
2007-06-15,TARGET CORP,TGT,SCOVANNER DOUGLAS A,Executive Officer,S,63.83,-22400.0,117620.0,-19.044380207447713,-1429792.0
2007-06-15,TARGET CORP,TGT,ULRICH ROBERT J,Executive Officer,S,63.5,-100000.0,69787.0,-143.29316348317022,-6350000.0
2007-06-18,TARGET CORP,TGT,Scully Terrence J,Executive Officer,S,64.05,-10741.0,21437.0,-50.10495871623828,-687961.0499999999
2007-06-18,TARGET CORP,TGT,JOHNSON JAMES A /DC/,,S,64.17,-6000.0,15590.0,-38.486209108402825,-385020.0
2007-06-18,TARGET CORP,TGT,KOVACEVICH RICHARD M,,S,64.45,-1900.0,77652.0,-2.4468139906248387,-122455.0
2007-06-18,TARGET CORP,TGT,Scully Terrence J,Executive Officer,S,64.05,-50.0,40757.0,-0.12267831292784061,-3202.5
2007-06-18,TARGET CORP,TGT,Scully Terrence J,Executive Officer,S,64.05,-8579.0,32178.0,-26.661072782646528,-549484.95
2007-06-18,TARGET CORP,TGT,Scully Terrence J,Executive Officer,S,64.05,-11765.0,9672.0,-121.63978494623655,-753548.25
2007-06-21,TARGET CORP,TGT,STEINHAFEL GREGG W,Executive Officer,S,63.61,-121000.0,210747.0,-57.414814920259836,-7696810.0
