filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2010-07-02,TESLA MOTORS INC,TSLA,Straubel Jeffrey B,Chief Technology Officer,P,17.0,200.0,279634.0,0.07152206097970919,3400.0
2010-07-02,TESLA MOTORS INC,TSLA,Buss Brad W,,P,17.0,11764.0,11764.0,100.0,199988.0
2010-07-02,TESLA MOTORS INC,TSLA,Passin Gilbert,"Vice President, Manufacturing",P,17.0,200.0,200.0,100.0,3400.0
2010-07-02,TESLA MOTORS INC,TSLA,Musk Elon,"Pres,Prod Architect & Director",S,17.0,-1415167.0,25699596.0,-5.5065729437925794,-24057839.0
2010-07-02,TESLA MOTORS INC,TSLA,Musk Kimbal,,S,17.0,-50764.0,361035.0,-14.06068663702965,-862988.0
2011-02-18,TESLA MOTORS INC,TSLA,Ahuja Deepak,Chief Financial Officer,S,23.21,-1000.0,0.0,-inf,-23210.0
2011-03-09,TESLA MOTORS INC,TSLA,Passin Gilbert,VP- Manufacturing,S,25.0,-300.0,200.0,-150.0,-7500.0
2011-03-10,TESLA MOTORS INC,TSLA,Jurvetson Stephen T,,S,24.6,-4817.0,4817.0,-100.0,-118498.20000000001
2011-03-10,TESLA MOTORS INC,TSLA,Jurvetson Stephen T,,S,24.71,-216712.0,216776.0,-99.97047643650589,-5354953.5200000005
2011-03-21,TESLA MOTORS INC,TSLA,Ahuja Deepak,Chief Financial Officer,S,23.06,-1000.0,500.0,-200.0,-23060.0
2011-04-04,TESLA MOTORS INC,TSLA,Ahuja Deepak,Chief Financial Officer,S,26.5,-500.0,500.0,-100.0,-13250.0
2011-04-04,TESLA MOTORS INC,TSLA,Ahuja Deepak,Chief Financial Officer,S,28.33,-500.0,500.0,-100.0,-14165.0
2011-04-04,TESLA MOTORS INC,TSLA,Straubel Jeffrey B,CTO,S,28.13,-5988.0,267634.0,-2.2373838899392453,-168442.44
2011-04-04,TESLA MOTORS INC,TSLA,Straubel Jeffrey B,CTO,S,27.34,-6012.0,273622.0,-2.1971917462777117,-164368.08
2011-04-20,TESLA MOTORS INC,TSLA,Ahuja Deepak,Chief Financial Officer,S,25.04,-1000.0,500.0,-200.0,-25040.0
