filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-01-04,UNITEDHEALTH GROUP INC,UNH,JOHNSON JAMES A /DC/,,S,61.18,-12800.0,0.0,-inf,-783104.0
2006-01-17,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,61.19,-32000.0,44000.0,-72.72727272727273,-1958080.0
2006-01-17,UNITEDHEALTH GROUP INC,UNH,SPEARS WILLIAM G,,S,60.2,-32000.0,64896.0,-49.30966469428008,-1926400.0
2006-02-27,UNITEDHEALTH GROUP INC,UNH,MCGUIRE WILLIAM W,Chairman & CEO,S,59.1,-2300000.0,644862.0,-356.6654571055513,-135930000.0
2006-04-11,UNITEDHEALTH GROUP INC,UNH,SPEARS WILLIAM G,,S,53.6,-32000.0,64896.0,-49.30966469428008,-1715200.0
2006-04-11,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,54.65,-32000.0,44000.0,-72.72727272727273,-1748800.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,BURKE RICHARD T,,S,52.89,-100000.0,2836300.0,-3.5257201283362125,-5289000.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,52.2,-2500.0,73500.0,-3.4013605442176873,-130500.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,52.46,-900.0,59800.0,-1.5050167224080269,-47214.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,52.51,-2300.0,44800.0,-5.133928571428571,-120773.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,52.44,-10100.0,63400.0,-15.930599369085174,-529644.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,52.48,-3500.0,53000.0,-6.60377358490566,-183680.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,52.47,-3300.0,56500.0,-5.84070796460177,-173151.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,52.53,-800.0,44000.0,-1.8181818181818181,-42024.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,JOHNSON JAMES A /DC/,,S,52.54,-32000.0,51200.0,-62.5,-1681280.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,52.49,-2400.0,50600.0,-4.743083003952568,-125976.0
2007-04-24,UNITEDHEALTH GROUP INC,UNH,KEAN THOMAS H,,S,52.45,-2700.0,60700.0,-4.448105436573312,-141615.0
