filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-03-03,WAL MART STORES INC,WMT,Castro Wright Eduardo,Executive Vice President,S,45.36,-7506.0,35881.0,-20.919149410551547,-340472.16
2006-03-22,WAL MART STORES INC,WMT,DUKE MICHAEL T,Vice Chairman,S,47.91,-10000.0,226746.96,-4.41020245651805,-479099.99999999994
2006-12-14,WAL MART STORES INC,WMT,McMillon C Douglas,Executive Vice President,S,45.93,-2701.0,112540.76,-2.4000193352168586,-124056.93
2006-12-15,WAL MART STORES INC,WMT,MENZER JOHN B,Vice Chairman,S,46.69,-3879.0,214999.85,-1.804187305246957,-181110.50999999998
2006-12-15,WAL MART STORES INC,WMT,MENZER JOHN B,Vice Chairman,S,46.67,-15000.0,194999.85,-7.692313609472007,-700050.0
2006-12-15,WAL MART STORES INC,WMT,MENZER JOHN B,Vice Chairman,S,46.68,-5000.0,209999.85,-2.3809540816338677,-233400.0
2006-12-15,WAL MART STORES INC,WMT,MENZER JOHN B,Vice Chairman,S,46.64,-10000.0,184999.85,-5.405409788170099,-466400.0
2007-03-09,WAL MART STORES INC,WMT,Wolf Linda S,,S,47.95,-55.0,2385.0,-2.3060796645702304,-2637.25
2007-03-09,WAL MART STORES INC,WMT,Wolf Linda S,,S,47.95,-55.0,2385.0,-2.3060796645702304,-2637.25
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.17,-10000.0,454100.0,-2.2021581149526535,-471700.0
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.14,-5500.0,399100.0,-1.3781007266349286,-259270.0
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.16,-34700.0,419400.0,-8.273724368144968,-1636451.9999999998
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.18,-12000.0,464100.0,-2.5856496444731736,-566160.0
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.19,-18300.0,476100.0,-3.843730308758664,-863577.0
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.2,-5600.0,494400.0,-1.132686084142395,-264320.0
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.15,-14800.0,404600.0,-3.65793376173999,-697820.0
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.12,-24700.0,350100.0,-7.055127106540988,-1163864.0
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.11,-35300.0,314800.0,-11.213468869123252,-1662983.0
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.1,-3300.0,311500.0,-1.059390048154093,-155430.0
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.21,-11500.0,300000.0,-3.833333333333333,-542915.0
2007-03-13,WAL MART STORES INC,WMT,GLASS DAVID D,,S,47.13,-24300.0,374800.0,-6.483457844183564,-1145259.0
2007-03-22,WAL MART STORES INC,WMT,SHEWMAKER JACK C,,S,47.66,-600.0,574969.74,-0.10435331779373293,-28595.999999999996
2007-03-22,WAL MART STORES INC,WMT,SHEWMAKER JACK C,,S,47.25,-2500.0,569269.74,-0.43915912340606755,-118125.0
2007-03-22,WAL MART STORES INC,WMT,SHEWMAKER JACK C,,S,47.5,-2500.0,2644538.0,-0.09453447067124768,-118750.0
