filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-02-01,EXXON MOBIL CORP,XOM,MULVA PATRICK T,Vice President and Controller,S,63.47,-2700.0,175126.0,-1.5417470849559747,-171369.0
2006-02-01,EXXON MOBIL CORP,XOM,CRAMER HAROLD R,Vice President,S,63.0,-10778.0,477563.0,-2.256875009161095,-679014.0
2006-02-01,EXXON MOBIL CORP,XOM,MULVA PATRICK T,Vice President and Controller,S,63.46,-7300.0,177826.0,-4.105136481729331,-463258.0
2006-02-01,EXXON MOBIL CORP,XOM,MULVA PATRICK T,Vice President and Controller,S,63.47,-2700.0,175126.0,-1.5417470849559747,-171369.0
2006-02-01,EXXON MOBIL CORP,XOM,MULVA PATRICK T,Vice President and Controller,S,63.46,-7300.0,177826.0,-4.105136481729331,-463258.0
2006-02-02,EXXON MOBIL CORP,XOM,Pryor Stephen D,Vice President,S,62.6,-8000.0,404498.0,-1.9777600878125479,-500800.0
2006-02-02,EXXON MOBIL CORP,XOM,Pryor Stephen D,Vice President,S,62.6,-8000.0,404498.0,-1.9777600878125479,-500800.0
2006-02-07,EXXON MOBIL CORP,XOM,Pryor Stephen D,Vice President,S,62.25,-7100.0,407398.0,-1.742767514813524,-441975.0
2006-02-07,EXXON MOBIL CORP,XOM,Pryor Stephen D,Vice President,S,62.27,-2900.0,404498.0,-0.7169380318320486,-180583.0
2006-02-07,EXXON MOBIL CORP,XOM,Pryor Stephen D,Vice President,S,62.25,-7100.0,407398.0,-1.742767514813524,-441975.0
2006-02-07,EXXON MOBIL CORP,XOM,Pryor Stephen D,Vice President,S,62.27,-2900.0,404498.0,-0.7169380318320486,-180583.0
2006-02-15,EXXON MOBIL CORP,XOM,Dolan Michael James,Vice President,S,59.55,-390.0,0.0,-inf,-23224.5
2006-02-15,EXXON MOBIL CORP,XOM,Dolan Michael James,Vice President,S,59.54,-390.0,0.0,-inf,-23220.6
2006-02-15,EXXON MOBIL CORP,XOM,Dolan Michael James,Vice President,S,59.56,-390.0,0.0,-inf,-23228.4
2006-05-02,EXXON MOBIL CORP,XOM,SIMON J STEPHEN,Senior Vice President,S,63.13,-19000.0,544318.0,-3.4906065939395723,-1199470.0
2006-05-02,EXXON MOBIL CORP,XOM,SIMON J STEPHEN,Senior Vice President,S,63.16,-3500.0,574318.0,-0.6094184754787417,-221060.0
2006-05-02,EXXON MOBIL CORP,XOM,SIMON J STEPHEN,Senior Vice President,S,63.15,-11000.0,563318.0,-1.9527158727397316,-694650.0
2006-05-03,EXXON MOBIL CORP,XOM,CRAMER HAROLD R,Vice President,S,64.0,-20000.0,477563.0,-4.187929131863231,-1280000.0
2006-05-03,EXXON MOBIL CORP,XOM,HUMPHREYS DONALD D,Sr. Vice President & Treasurer,S,64.07,-500.0,251063.0,-0.1991532005910867,-32034.999999999996
2006-05-03,EXXON MOBIL CORP,XOM,HUMPHREYS DONALD D,Sr. Vice President & Treasurer,S,64.06,-4100.0,251563.0,-1.6298104252215153,-262646.0
2006-05-03,EXXON MOBIL CORP,XOM,MATTHEWS CHARLES W,Vice President & Gen. Counsel,S,64.25,-50000.0,300711.0,-16.6272600603237,-3212500.0
2006-05-03,EXXON MOBIL CORP,XOM,MULVA PATRICK T,Vice President and Controller,S,64.1,-5000.0,175126.0,-2.855087194362916,-320500.0
2006-05-03,EXXON MOBIL CORP,XOM,MULVA PATRICK T,Vice President and Controller,S,64.1,-5000.0,175126.0,-2.855087194362916,-320500.0
2006-05-03,EXXON MOBIL CORP,XOM,HUMPHREYS DONALD D,Sr. Vice President & Treasurer,S,64.08,-5400.0,245663.0,-2.198133215014064,-346032.0
2006-05-04,EXXON MOBIL CORP,XOM,Pryor Stephen D,Vice President,S,64.7,-20000.0,419266.0,-4.7702413265087085,-1294000.0
2006-05-04,EXXON MOBIL CORP,XOM,Pryor Stephen D,Vice President,S,64.7,-20000.0,419266.0,-4.7702413265087085,-1294000.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.5,-9259.0,275234.0,-3.3640465930807966,-624982.5
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.18,-38500.0,423975.0,-9.080724099298308,-2586430.0000000005
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.21,-18200.0,405775.0,-4.485244285626271,-1223222.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.24,-900.0,404875.0,-0.22229083050324172,-60515.99999999999
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.5,-9259.0,275234.0,-3.3640465930807966,-624982.5
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.5,-9259.0,275234.0,-3.3640465930807966,-624982.5
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.29,-9600.0,392675.0,-2.4447698478385433,-645984.0000000001
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.48,-5900.0,298931.0,-1.9736996162994136,-398132.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.36,-2644.0,351031.0,-0.7532098304708131,-178099.84
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.45,-27200.0,323831.0,-8.3994429193005,-1834640.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.47,-600.0,304831.0,-0.19683037486344893,-40482.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.46,-18400.0,305431.0,-6.024273894922257,-1241264.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.49,-14438.0,284493.0,-5.074993057825676,-974420.6199999999
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.5,-9259.0,275234.0,-3.3640465930807966,-624982.5
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.24,-900.0,404875.0,-0.22229083050324172,-60515.99999999999
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.49,-14438.0,284493.0,-5.074993057825676,-974420.6199999999
2006-07-31,EXXON MOBIL CORP,XOM,Dolan Michael James,Vice President,S,67.13,-8400.0,192745.0,-4.358089704013074,-563892.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.47,-600.0,304831.0,-0.19683037486344893,-40482.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.29,-9600.0,392675.0,-2.4447698478385433,-645984.0000000001
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.26,-100.0,402775.0,-0.024827757432809884,-6726.000000000001
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.49,-14438.0,284493.0,-5.074993057825676,-974420.6199999999
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.18,-38500.0,423975.0,-9.080724099298308,-2586430.0000000005
2006-07-31,EXXON MOBIL CORP,XOM,KOHLENBERGER GERALD L,Vice President,S,67.2,-20000.0,177997.0,-11.236144429400495,-1344000.0
2006-07-31,EXXON MOBIL CORP,XOM,Albers Mark W,Executive Officer,S,67.45,-172.0,500.0,-34.4,-11601.4
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.46,-18400.0,305431.0,-6.024273894922257,-1241264.0
2006-07-31,EXXON MOBIL CORP,XOM,Albers Mark W,Executive Officer,S,67.45,-172.0,500.0,-34.4,-11601.4
2006-07-31,EXXON MOBIL CORP,XOM,Albers Mark W,Executive Officer,S,67.45,-172.0,500.0,-34.4,-11601.4
2006-07-31,EXXON MOBIL CORP,XOM,Dolan Michael James,Vice President,S,67.18,-4570.0,188175.0,-2.428590407865019,-307012.60000000003
2006-07-31,EXXON MOBIL CORP,XOM,Dolan Michael James,Vice President,S,67.24,-2400.0,133965.0,-1.791512708543276,-161376.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.25,-2000.0,402875.0,-0.49643189574930185,-134500.0
2006-07-31,EXXON MOBIL CORP,XOM,Dolan Michael James,Vice President,S,67.2,-51810.0,136365.0,-37.99362006379936,-3481632.0
2006-07-31,EXXON MOBIL CORP,XOM,Dolan Michael James,Vice President,S,67.25,-3800.0,130165.0,-2.91937156685745,-255550.0
2006-07-31,EXXON MOBIL CORP,XOM,Albers Mark W,Executive Officer,S,67.45,-172.0,500.0,-34.4,-11601.4
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.21,-18200.0,405775.0,-4.485244285626271,-1223222.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.49,-14438.0,284493.0,-5.074993057825676,-974420.6199999999
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.31,-27000.0,365675.0,-7.38360566076434,-1817370.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.28,-500.0,402275.0,-0.12429308308992604,-33640.0
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.29,-9600.0,392675.0,-2.4447698478385433,-645984.0000000001
2006-07-31,EXXON MOBIL CORP,XOM,FOSTER MORRIS E,Vice President,S,67.31,-27000.0,365675.0,-7.38360566076434,-1817370.0
